,YStock,XStock,PValue,Beta(Slope),STD_ERR_Ratio,Alpha(Intercept),Close_STD_Error(Z-Score),Alpha:YPrice
26,CME_6EZ2019,NYMEX_CLF2020,0.0000,-0.00,3.44,1.21,1.97,109.03356611849516
27,NYMEX_CLF2020,CME_6EZ2019,0.0000,-161.57,19.83,235.98,1.87,405.4639175257732
28,CME_6EZ2019,NYMEX_MINI_QMF2020,0.0000,-0.00,3.37,1.18,1.95,106.33025456183825
29,NYMEX_MINI_QMF2020,CME_6EZ2019,0.0000,-121.65,19.83,191.86,2.27,325.73853989813244
30,CBOT_ZNZ2019,CME_6NZ2019,0.2140,-4.19,8.26,132.15,-0.87,102.29317851959361
31,CME_6NZ2019,CBOT_ZNZ2019,0.2140,-0.00,28.49,0.80,1.90,122.43648607284972
32,CBOT_ZNZ2019,CME_MINI_MESZ2019,0.0000,-0.01,9.85,148.06,-1.41,114.60861151427189
33,CME_MINI_MESZ2019,CBOT_ZNZ2019,0.0000,-29.02,28.49,6880.05,-1.18,221.17013581933617
34,CBOT_ZNZ2019,COMEX_GCF2020,0.0000,0.02,11.16,106.14,-1.89,82.15965166908563
35,COMEX_GCF2020,CBOT_ZNZ2019,0.0000,13.32,28.49,-255.88,2.17,-17.290357456584903
36,CBOT_ZNZ2019,NSE_SBIN,0.0156,-0.00,0.53,129.79,-0.86,100.4663763909047
37,NSE_SBIN,CBOT_ZNZ2019,0.0156,-17.48,28.49,2563.55,0.95,762.9613095238096
38,CBOT_ZNZ2019,NYMEX_CLF2020,0.0799,-0.03,3.44,131.04,-0.91,101.43396226415095
39,NYMEX_CLF2020,CBOT_ZNZ2019,0.0799,-0.37,28.49,105.29,0.86,180.91065292096218
40,CBOT_ZNZ2019,NYMEX_MINI_QMF2020,0.0916,0.03,3.37,127.96,-1.17,99.04983067247218
41,NYMEX_MINI_QMF2020,CBOT_ZNZ2019,0.0916,0.37,28.49,10.02,1.73,17.01188455008489
42,CME_6NZ2019,CME_MINI_MESZ2019,0.0000,-0.00,9.85,0.90,1.86,137.7410468319559
43,CME_MINI_MESZ2019,CME_6NZ2019,0.0000,-1325.17,8.26,3976.82,-0.01,127.84119585309008
44,CME_6NZ2019,COMEX_GCF2020,0.0000,0.00,11.16,0.29,1.50,44.383226201408014
45,COMEX_GCF2020,CME_6NZ2019,0.0000,695.43,8.26,1020.54,0.71,68.96006486924792
46,CME_6NZ2019,NSE_SBIN,0.0000,0.00,0.53,0.61,1.74,93.3578206305479
47,NSE_SBIN,CME_6NZ2019,0.0000,5384.41,8.26,-3169.86,-0.55,-943.4107142857143
48,CME_6NZ2019,NYMEX_CLF2020,0.0000,-0.00,3.44,0.73,2.43,111.72329354147536
49,NYMEX_CLF2020,CME_6NZ2019,0.0000,-71.46,8.26,103.33,1.71,177.5429553264605
50,CME_6NZ2019,NYMEX_MINI_QMF2020,0.0054,-0.00,3.37,0.69,2.26,105.60146923783287
51,NYMEX_MINI_QMF2020,CME_6NZ2019,0.0054,-34.91,8.26,79.80,1.96,135.48387096774195
52,CME_MINI_MESZ2019,COMEX_GCF2020,0.0000,-1.85,11.16,5841.96,0.74,187.79908382222936
53,COMEX_GCF2020,CME_MINI_MESZ2019,0.0000,-0.32,9.85,2464.98,1.50,166.56395702412325
54,CME_MINI_MESZ2019,NSE_SBIN,0.0003,0.12,0.53,3087.80,-0.90,99.26223579522623
55,NSE_SBIN,CME_MINI_MESZ2019,0.0003,0.37,9.85,-870.57,1.24,-259.0982142857143
56,CME_MINI_MESZ2019,NYMEX_CLF2020,0.0000,9.87,3.44,2557.47,-1.34,82.21393554609016
57,NYMEX_CLF2020,CME_MINI_MESZ2019,0.0000,0.03,9.85,-27.57,1.51,-47.371134020618555
58,CME_MINI_MESZ2019,NYMEX_MINI_QMF2020,0.0000,5.10,3.37,2830.58,-1.14,90.99349031584023
59,NYMEX_MINI_QMF2020,CME_MINI_MESZ2019,0.0000,0.01,9.85,11.50,1.87,19.524617996604416
60,COMEX_GCF2020,NSE_SBIN,0.0087,-0.03,0.53,1479.26,1.64,99.95675383471855
61,NSE_SBIN,COMEX_GCF2020,0.0087,-0.65,11.16,1261.65,1.32,375.49107142857144
62,COMEX_GCF2020,NYMEX_CLF2020,0.0000,-4.00,3.44,1698.09,2.26,114.74356375430771
63,NYMEX_CLF2020,COMEX_GCF2020,0.0000,-0.06,11.16,151.24,1.97,259.86254295532643
64,COMEX_GCF2020,NYMEX_MINI_QMF2020,0.0000,-2.57,3.37,1616.15,2.12,109.20670315561861
65,NYMEX_MINI_QMF2020,COMEX_GCF2020,0.0000,-0.04,11.16,120.37,2.23,204.36332767402376
66,NSE_SBIN,NYMEX_CLF2020,0.3217,1.96,3.44,187.90,1.03,55.92261904761905
67,NYMEX_CLF2020,NSE_SBIN,0.3217,0.00,0.53,56.78,0.89,97.56013745704468
68,NSE_SBIN,NYMEX_MINI_QMF2020,0.0254,4.32,3.37,52.84,0.88,15.726190476190476
69,NYMEX_MINI_QMF2020,NSE_SBIN,0.0254,0.00,0.53,56.14,1.49,95.31409168081494
70,NYMEX_CLF2020,NYMEX_MINI_QMF2020,0.0000,0.68,3.37,18.52,-0.23,31.821305841924396
71,NYMEX_MINI_QMF2020,NYMEX_CLF2020,0.0000,0.71,3.44,16.83,1.33,28.57385398981324
