,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
72,BOSCHLTD,TVSMOTOR,0.5360,-0.95,0.52,20688.57,-0.12,103.78482098514607
73,BOSCHLTD,TATAMTRDVR,0.0000,28.94,0.29,14134.00,1.68,70.90362745245585
74,BOSCHLTD,TATAMOTORS,0.0000,17.38,0.31,13829.85,1.51,69.37785001580207
75,EICHERMOT,EXIDEIND,0.0000,-20.33,0.49,34084.30,-2.93,140.92923830079306
76,EICHERMOT,HEROMOTOCO,0.0000,5.04,0.97,11167.74,-1.42,46.17554392319333
77,EICHERMOT,MRF,0.0000,-0.11,0.86,37151.46,-3.84,153.61110421990125
78,EICHERMOT,M&M,0.0000,3.00,0.23,26217.79,-3.24,108.40337559023212
79,EICHERMOT,MARUTI,0.0000,-0.80,0.74,36243.75,-4.00,149.85797216502516
80,EICHERMOT,MOTHERSUMI,0.0003,9.80,0.56,26099.73,-2.77,107.91522984941328
81,EICHERMOT,TVSMOTOR,0.0000,6.43,0.52,25297.99,-3.00,104.600254699116
82,EICHERMOT,TATAMTRDVR,0.0000,14.33,0.29,26416.03,-2.56,109.22304365443614
83,EICHERMOT,TATAMOTORS,0.0000,9.20,0.31,26050.67,-2.59,107.71238019631679
84,HEROMOTOCO,EXIDEIND,0.0000,-5.26,0.49,4834.16,-3.23,164.80559106792808
85,MRF,EXIDEIND,0.0000,114.66,0.49,44090.55,-3.16,69.3263447043997
86,EXIDEIND,M&M,0.0000,-0.05,0.23,281.72,1.01,106.12921454134491
87,MARUTI,EXIDEIND,0.0000,10.76,0.49,6108.04,-2.72,83.1257697725216
88,MOTHERSUMI,EXIDEIND,0.0000,-0.64,0.49,482.07,-1.90,187.72196261682242
89,TVSMOTOR,EXIDEIND,0.0000,-1.54,0.49,988.89,-0.39,176.57173466654766
90,EXIDEIND,TATAMTRDVR,0.0000,-0.54,0.29,344.10,-0.98,129.6289320022603
91,EXIDEIND,TATAMOTORS,0.0000,-0.34,0.31,355.86,-0.93,134.0591448483707
92,HEROMOTOCO,MRF,0.0000,-0.02,0.86,4852.65,-4.11,165.4359498849399
93,HEROMOTOCO,M&M,0.0000,0.32,0.23,3277.21,-3.20,111.72624222279042
94,HEROMOTOCO,MARUTI,0.0000,-0.13,0.74,4713.92,-4.33,160.7063837040825
95,HEROMOTOCO,MOTHERSUMI,0.0000,2.78,0.56,2688.29,-2.46,91.64885366061536
96,HEROMOTOCO,TVSMOTOR,0.0000,1.12,0.52,2905.37,-3.03,99.04951845222875
97,HEROMOTOCO,TATAMTRDVR,0.0000,3.84,0.29,2823.98,-2.37,96.27478053353788
98,HEROMOTOCO,TATAMOTORS,0.0000,2.26,0.31,2800.15,-2.50,95.46237109008779
99,MRF,M&M,0.0000,-11.19,0.23,82449.20,-2.58,129.64006254859584
100,MRF,MARUTI,0.0000,4.68,0.74,30407.74,-0.35,47.81200200319032
101,MRF,MOTHERSUMI,0.0005,-27.03,0.56,79723.01,-2.01,125.35350255626895
102,MRF,TVSMOTOR,0.0000,-19.39,0.52,82980.05,-1.91,130.47475138977225
103,MRF,TATAMTRDVR,0.0000,-59.18,0.29,82890.83,-3.12,130.33446517255504
104,MRF,TATAMOTORS,0.0000,-39.10,0.31,84795.86,-3.23,133.3298636525518
105,MARUTI,M&M,0.0000,-1.73,0.23,10418.38,-3.33,141.78621248103212
106,MOTHERSUMI,M&M,0.0000,0.03,0.23,302.79,-2.15,117.90887850467291
107,TVSMOTOR,M&M,0.2237,0.02,0.23,613.59,-1.00,109.55986072672084
108,TATAMTRDVR,M&M,0.0000,0.08,0.23,118.10,-2.14,101.32990132990133
109,TATAMOTORS,M&M,0.0000,0.14,0.23,218.07,-1.97,97.48323647742512
110,MARUTI,MOTHERSUMI,0.7741,-0.32,0.56,8713.08,-1.94,118.57837900366769
111,MARUTI,TVSMOTOR,0.0001,2.15,0.52,7249.58,-1.71,98.66125926278758
112,MARUTI,TATAMTRDVR,0.0000,-7.45,0.29,10138.45,-3.27,137.97657850148684
113,MARUTI,TATAMOTORS,0.0000,-4.24,0.31,10132.33,-3.07,137.8932899652284
114,MOTHERSUMI,TVSMOTOR,0.0000,0.30,0.52,142.63,-2.04,55.54127725856698
115,MOTHERSUMI,TATAMTRDVR,0.0000,0.57,0.29,216.22,-1.04,84.19781931464173
116,MOTHERSUMI,TATAMOTORS,0.0000,0.35,0.31,206.20,-1.16,80.29595015576324
117,TVSMOTOR,TATAMTRDVR,0.0000,0.90,0.29,447.26,0.14,79.86072672082851
118,TVSMOTOR,TATAMOTORS,0.0000,0.62,0.31,407.59,0.24,72.77743058655477
119,TATAMOTORS,TATAMTRDVR,0.0000,1.61,0.29,27.98,0.74,12.50782297720161
