Time,Open,High,Low,Last,Change,Volume,"Open Interest"
12/01/17,1301.6,1314,1296.9,1304.8,5.5999999999999,1408,13671
11/30/17,1309.2,1309.8,1295.8,1299.2,-9.3999999999999,573,13619
11/29/17,1320,1322.4,1307.6,1308.6,-12.7,963,13600
11/28/17,1319.7,1322.1,1317.2,1321.3,0.29999999999995,1594,13412
11/27/17,1314,1325.4,1314,1321,7.0999999999999,604,13099
11/24/17,1316.2,1318.3,1313.8,1313.9,-5,601,12901
11/22/17,1310.1,1319.9,1310.1,1318.9,10.6,795,12530
11/21/17,1304.7,1309.9,1302.7,1308.3,6.8,2283,12218
11/20/17,1318.9,1318.9,1301.1,1301.5,-21.1,1162,11773
11/17/17,1308.2,1322.8,1307.8,1322.6,18.6,489,11468
11/16/17,1304.1,1307.4,1303.8,1304,0.59999999999991,537,11454
11/15/17,1308.5,1315.4,1302.7,1303.4,-5.3999999999999,686,11431
11/14/17,1303.8,1308.8,1296.8,1308.8,3.8999999999999,151,11183
11/13/17,1301.5,1305.4,1301.5,1304.9,5,612,11145
11/10/17,1312.4,1312.4,1299.4,1299.9,-13.3,543,11104
11/09/17,1307.7,1314,1307.7,1313.2,4.2,392,11073
11/08/17,1307.4,1313.1,1306.1,1309,8.4000000000001,678,11101
11/07/17,1304.2,1304.7,1298.6,1300.6,-5.8000000000002,264,11076
11/06/17,1294.6,1308.1,1294.6,1306.4,12.6,199,11045
11/03/17,1303.5,1303.5,1292.3,1293.8,-8.6000000000001,406,11025
11/02/17,1304.3,1308.8,1298.9,1302.4,0.80000000000018,734,10957
11/01/17,1294.6,1303.8,1294.6,1301.6,6.8999999999999,339,10552
10/31/17,1300.8,1300.8,1292.6,1294.7,-7,231,10526
10/30/17,1298.7,1302.5,1295.6,1301.7,5.8,565,10470
10/27/17,1291.9,1298.2,1290.1,1295.9,1.9000000000001,473,10395
10/26/17,1304.4,1305.4,1290.9,1294,-9.4000000000001,233,10355
10/25/17,1303.2,1304.6,1300.8,1303.4,1,774,10330
10/24/17,1301.3,1302.8,1301.3,1302.4,-2.8,320,10788
10/23/17,1301,1308.4,1298.3,1305.2,0.79999999999995,438,10789
10/20/17,1304.5,1305.1,1304.3,1304.4,-9.6999999999998,565,10707
10/19/17,1306.3,1314.5,1306.3,1314.1,6.5999999999999,863,10900
10/18/17,1304.8,1308,1304.7,1307.5,-3.2,306,10858
10/17/17,1321.8,1321.8,1310.6,1310.7,-17.2,429,10786
10/16/17,1330.5,1333,1319.8,1327.9,-1.1999999999998,384,10786
10/13/17,1323.1,1330.6,1319.8,1329.1,8.0999999999999,123,10771
10/12/17,1319.3,1323.8,1317.2,1321,7.8,1068,10753
10/11/17,1315.1,1317.4,1312.2,1313.2,-4.8999999999999,18,11143
10/10/17,1310.1,1320.7,1310.1,1318.1,9,489,11133
10/09/17,1303.7,1311.5,1303.7,1309.1,10.4,179,10787
10/06/17,1294.9,1302.1,1288,1298.7,1.7,886,10829
10/05/17,1300.5,1304.5,1293.9,1297,-3.5,132,10814
10/04/17,1303.2,1305,1298.1,1300.5,2.2,255,10857
10/03/17,1297.1,1300.6,1295.7,1298.3,-1.3,426,10895
10/02/17,1300.6,1302,1297.7,1299.6,-9,147,10925
09/29/17,1315.5,1315.5,1306.9,1308.6,-3.7,326,10983
09/28/17,1310,1314.1,1309.1,1312.3,0.59999999999991,438,10990
09/27/17,1318,1318,1309.4,1311.7,-13.5,265,10813
09/26/17,1336.4,1336.4,1322.2,1325.2,-9.7,445,10877
09/25/17,1320.7,1336.1,1317.7,1334.9,14.1,37,10751
09/22/17,1322.4,1323.8,1320.6,1320.8,2.7,54,10743
09/21/17,1320.6,1323.1,1315,1318.1,-21.6,47,10742
09/20/17,1340.2,1341.8,1325,1339.7,5.6000000000001,425,10740
09/19/17,1336.1,1337.2,1332.9,1334.1,-0.20000000000005,271,10629
09/18/17,1344.9,1345.5,1331.7,1334.3,-14.8,803,10607
