,AAPL,AMD,MU,NVDA,PEP,COKE
426,116.76,11.55,22.78,109.25,104.62,178.7
427,117.26,12.07,23.3,117.32,105.13,179.08
428,116.52,11.58,23.26,109.78,105.09,177.56
429,116.29,11.6,23.19,107.11,105.35,174.67
430,117.06,11.47,20.58,105.83,104.7,177.21
431,116.95,11.51,20.65,105.17,104.9,178.52
432,116.64,10.95,20.35,101.63,105.41,173.6
433,115.97,10.66,20.27,100.41,105.87,174.06
434,115.82,10.86,20.29,98.71,105.3,171.66
435,115.19,10.55,20.02,96.45,104.47,167.72
436,115.19,10.54,20.13,91.17,105.63,167.16
437,113.3,10.68,20.02,89.59,104.72,167.33
438,113.95,10.34,20.5,91.82,103.57,167.15
439,112.12,10.34,20.66,93.48,102.15,161.91
440,111.03,9.56,20.44,95.07,102.81,162.03
441,109.95,9.45,19.06,93.39,101.55,159.72
442,109.11,8.68,18.61,91.88,100.71,160.02
443,109.9,8.53,18.79,88.45,100.6,157.62
444,109.49,8.39,18.48,87.64,99.03,159.01
445,110.52,8.91,19.53,92.2,100.1,161.78
446,111.46,8.93,19.42,93.25,102.54,165.06
447,111.57,8.83,19.99,94.11,102.79,166.15
448,111.79,8.77,20.13,94.16,102.17,165.86
449,111.23,8.8,19.91,93.97,101.53,164.73
450,111.8,8.69,19.74,93.65,102.89,165.02
451,111.73,8.94,19.49,92.98,102.26,164.9
452,110.06,8.71,19.21,93.36,101.31,165.44
453,109.95,8.46,19.18,92.39,101.62,164.97
454,109.99,7.67,18.24,91.63,101.71,165.32
455,107.11,6.97,18.1,86.19,101.85,164.6
456,105.71,6.79,17.71,83.64,101.39,164.98
457,108.43,6.68,17.67,87.97,103.19,167.48
458,107.79,6.3,16.99,67.77,103.25,160.49
459,110.88,6.94,17.2,69.96,107.25,157.81
460,111.06,7.0,17.41,71.16,108.72,141.27
461,110.41,6.96,17.38,71.27,106.96,140.37
462,108.84,6.56,16.68,67.57,105.81,140.56
463,109.83,6.7,16.62,67.96,106.63,141.38
464,111.59,6.76,16.68,68.76,106.71,142.72
465,111.49,7.09,16.98,69.05,106.71,141.41
466,113.54,7.23,17.16,71.16,107.2,141.3
467,113.72,7.2,17.2,70.56,107.07,145.09
468,114.48,7.11,17.53,70.68,106.63,141.56
469,115.59,7.29,17.64,72.16,107.07,144.47
470,118.25,7.5,17.54,71.87,107.23,145.34
471,117.65,7.01,17.06,70.71,107.31,144.56
472,116.6,6.52,16.94,67.54,105.62,143.16
473,117.06,6.96,17.2,67.73,105.87,142.89
474,117.12,6.77,17.22,66.47,106.26,143.98
475,117.47,6.73,17.41,66.61,106.95,142.4
476,117.55,6.67,16.99,65.61,106.85,141.23
477,117.63,6.75,17.13,65.99,106.83,140.35
478,116.98,6.49,16.85,65.35,105.92,141.87
479,117.34,6.62,16.78,66.43,106.08,141.79
480,116.3,6.5,16.86,66.13,105.57,140.3
481,116.05,6.84,17.5,67.1,106.22,141.58
