Date,ACC,ADANIPORTS,AMBUJACEM,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHEL,BPCL,BHARTIARTL,BOSCHLTD,AUROPHARMA,CIPLA,COALINDIA,DRREDDY,GAIL,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ITC,ICICIBANK,IDEA,INDUSINDBK,INFY,KOTAKBANK,LT,LUPIN,M&M,MARUIT,NTPC,ONGC,POWERGRID,INFRATEL,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATAPOWER,TATASTEEL,TECHM,ULTRATECH,EICHERMOT,WIPRO,YESBANK,ZEEL,TATAMTRDVR
2018-03-06,1595.3,405.25,240.65,1101.6,517.35,2899.2,135.25,88.2,445.2,413.9,18159.75,606.2,584.1,307.0,2176.45,439.95,1133.95,932.8,1846.25,3561.9,225.85,1293.2,1782.8,256.5,295.05,81.9,1710.3,1151.35,1082.45,1283.4,773.4,719.9,,163.35,185.4,193.15,331.95,910.85,256.55,531.75,3042.8,346.5,81.75,659.75,617.25,4150.3,27488.45,286.95,312.15,559.5,196.15
2018-03-07,1575.2,376.95,235.2,1107.25,512.65,2903.9,132.6,85.45,443.4,403.2,17848.25,593.45,580.2,306.95,2149.6,440.75,1114.9,949.55,1832.6,3554.4,224.45,1293.85,1761.75,259.9,286.7,79.7,1704.25,1144.1,1085.1,1263.3,761.75,707.8,,163.5,181.5,193.35,329.45,889.75,246.65,524.85,3027.45,347.8,79.2,647.7,609.05,4113.45,27528.15,285.35,311.95,565.1,194.25
2018-03-08,1544.95,387.95,236.25,1127.6,520.55,2923.9,134.35,86.1,442.2,401.3,18094.8,589.2,578.0,305.5,2143.4,436.45,1100.65,950.65,1852.85,3586.7,222.7,1293.15,1798.75,258.85,296.95,79.65,1694.15,1156.65,1082.3,1283.8,771.15,726.65,,165.3,180.15,195.4,331.2,911.45,256.8,514.6,3003.95,345.15,79.9,635.9,607.2,4119.9,27711.85,285.2,308.55,563.5,194.9
2018-03-09,1531.85,377.9,235.4,1129.1,505.35,2935.4,131.55,86.15,439.4,402.15,18203.55,592.45,571.05,304.05,2129.9,436.9,1100.35,943.0,1851.05,3586.35,220.2,1300.75,1818.6,259.25,292.7,78.85,1697.55,1163.4,1082.45,1290.5,764.5,728.5,,164.4,179.9,192.9,333.15,913.1,253.25,506.8,3034.1,341.5,80.0,606.75,619.2,4079.85,27963.85,285.05,303.25,568.5,192.75
2018-03-12,1559.9,386.6,240.85,1131.5,519.2,2957.75,132.1,86.95,446.75,421.55,18247.45,582.85,580.65,297.65,2148.4,446.45,1106.0,967.65,1867.25,3694.5,227.65,1324.2,1858.05,270.1,300.65,78.5,1735.3,1185.75,1100.6,1310.05,769.8,737.1,,171.15,183.85,195.0,339.5,930.3,252.85,512.65,3052.15,352.6,80.85,622.9,619.55,4176.0,28316.9,290.7,311.15,576.25,197.65
2018-03-13,1575.35,385.2,238.8,1140.3,531.5,2971.75,141.55,86.9,466.65,426.3,18487.9,581.65,578.75,294.85,2181.5,455.95,1109.2,957.0,1860.25,3701.2,226.15,1320.55,1868.5,269.45,304.35,80.65,1729.5,1183.8,1083.9,1302.75,780.6,733.0,,169.4,183.6,195.05,349.0,931.85,254.7,523.3,2886.8,353.15,81.35,628.85,619.15,4170.0,28849.35,296.6,312.8,579.15,197.1
2018-03-14,1612.0,382.1,243.9,1137.0,536.15,2950.55,145.75,86.5,462.8,422.6,18284.3,577.8,577.9,293.1,2181.45,458.0,1121.75,965.05,1864.5,3639.35,226.7,1316.9,1844.7,268.05,306.05,81.25,1733.35,1180.8,1081.75,1303.25,781.55,728.2,,169.7,180.6,194.35,339.15,929.05,257.05,520.1,2886.9,354.05,80.4,620.55,639.1,4230.25,28846.65,293.85,318.85,576.6,197.35
2018-03-15,1603.15,382.15,242.3,1160.8,529.65,2948.75,143.75,87.05,462.05,420.45,18025.2,572.3,571.15,295.5,2182.75,450.35,1107.95,959.15,1880.8,3640.8,224.9,1299.95,1830.0,265.55,301.45,80.15,1741.75,1182.5,1085.65,1295.1,776.65,734.85,,169.9,180.3,194.8,337.9,911.8,253.7,516.45,2869.7,353.1,80.25,611.75,631.85,4189.4,28695.55,293.4,311.85,570.4,196.15
2018-03-16,1567.95,370.5,234.75,1122.75,522.6,2910.45,143.8,86.4,447.55,416.75,17921.7,572.55,559.4,278.2,2142.15,441.0,1093.55,967.6,1853.0,3546.1,221.7,1299.15,1791.4,260.5,298.1,81.05,1724.7,1171.9,1060.75,1269.3,761.85,740.75,,164.85,177.15,192.25,334.45,900.05,252.3,503.05,2825.7,339.75,79.95,600.2,634.7,4026.3,28079.15,295.75,312.9,570.35,189.45
2018-03-19,1562.9,364.3,231.15,1102.55,519.45,2849.45,133.35,83.75,430.75,399.65,17515.05,572.9,559.75,272.3,2119.85,442.05,1098.2,926.5,1847.25,3515.3,214.55,1309.4,1774.5,259.15,294.55,77.8,1718.8,1146.75,1049.0,1279.55,766.6,742.7,,167.0,176.85,194.2,325.35,895.5,247.95,497.65,2831.0,335.7,79.55,574.95,609.9,3972.4,27403.05,288.65,304.8,566.45,188.9
2018-03-20,1554.8,370.0,230.4,1106.5,521.1,2873.0,135.85,84.1,424.9,400.4,17876.75,571.6,552.9,270.25,2157.15,438.5,1096.1,937.2,1839.5,3513.8,217.3,1313.25,1800.05,259.2,292.0,77.15,1716.65,1164.55,1045.3,1293.5,771.75,740.95,,166.4,174.1,194.9,341.9,889.8,249.1,508.75,2864.85,338.8,80.35,593.0,633.4,3936.8,28360.45,293.6,302.4,575.1,190.0
2018-03-21,1558.4,363.7,229.85,1103.55,526.3,2851.8,135.6,83.05,430.65,418.2,17585.65,564.2,551.05,270.9,2141.7,435.05,1094.7,937.35,1858.9,3463.6,214.7,1315.6,1817.85,259.05,289.2,79.15,1731.45,1167.5,1051.1,1309.35,767.85,745.35,,170.35,175.55,194.2,337.15,896.9,248.0,504.5,2856.75,333.85,79.95,582.25,625.85,3999.2,27980.85,295.25,300.75,566.85,188.45
2018-03-22,1549.4,358.25,228.25,1107.1,518.2,2834.95,134.95,81.4,414.7,415.6,17350.2,557.4,540.75,269.4,2108.3,438.4,1092.9,930.55,1867.75,3452.3,216.8,1311.85,1809.55,258.3,283.25,77.6,1753.1,1161.3,1053.05,1296.25,758.5,730.85,,170.95,178.9,192.7,335.2,908.15,241.55,508.4,2831.35,338.2,80.0,580.9,619.05,3925.15,28030.5,288.45,298.25,559.2,190.55
2018-03-23,1528.55,362.4,227.2,1112.65,499.5,2789.95,133.2,81.4,413.45,412.7,17361.8,551.65,538.4,269.95,2072.3,439.6,1082.6,957.4,1841.55,3413.75,206.1,1301.65,1789.6,256.0,275.55,77.65,1749.5,1167.6,1038.8,1267.9,734.5,732.9,,170.05,177.4,194.25,342.5,893.9,234.8,502.4,2818.15,330.85,80.0,566.5,623.35,3873.75,27896.1,284.65,286.65,569.4,186.9
2018-03-26,1533.15,365.15,231.1,1117.55,507.3,2848.65,141.5,82.25,419.55,421.5,17291.6,550.35,541.8,273.45,2104.0,425.15,1080.6,967.05,1893.45,3481.7,210.55,1324.3,1830.15,258.1,281.65,80.35,1759.75,1155.25,1039.35,1297.4,740.15,746.5,,169.85,178.9,194.9,343.95,901.1,246.5,503.2,2817.0,332.35,79.9,581.55,620.4,3950.0,27873.05,274.0,303.35,585.85,185.95
2018-03-27,1524.0,365.5,231.7,1131.1,512.2,2798.3,143.7,82.8,420.75,413.2,17687.8,560.05,545.05,276.2,2102.45,320.95,1088.85,972.05,1892.6,3464.7,218.5,1332.8,1823.15,258.9,283.9,80.6,1788.2,1154.0,1049.85,1307.55,748.75,744.9,,171.05,179.6,195.95,336.55,899.8,254.35,505.1,2847.7,331.15,80.1,590.0,621.65,3978.6,28424.1,274.05,303.5,586.5,185.85
2018-03-28,1507.5,354.1,232.95,1120.4,510.5,2744.7,142.3,81.35,427.45,398.7,18017.55,557.85,545.45,283.3,2080.55,328.55,1050.9,968.6,1886.1,3542.8,214.55,1333.35,1825.6,255.5,278.35,75.9,1796.75,1131.8,1047.8,1310.9,735.85,738.9,,169.7,177.8,193.25,336.15,882.7,249.9,495.1,2849.15,326.85,79.0,571.05,638.7,3950.0,28372.65,281.15,304.85,575.5,183.3
2018-04-02,1536.95,369.7,240.2,1150.15,499.05,2808.95,141.9,82.45,423.4,395.1,18515.0,592.55,576.25,277.5,2132.1,324.8,1089.25,979.5,1931.2,3646.0,211.25,1351.3,1838.05,258.25,261.85,77.8,1804.6,1137.15,1096.55,1335.95,777.1,748.05,,170.4,179.95,194.9,337.65,892.95,246.15,507.85,2909.65,339.15,81.9,578.8,640.3,3978.5,28288.75,289.65,306.25,578.95,189.45
2018-04-03,1554.8,366.4,240.65,1152.1,501.55,2792.0,145.35,85.7,426.25,402.2,19063.45,593.35,570.3,278.95,2124.9,329.75,1087.9,969.25,1915.9,3644.95,207.95,1348.4,1825.7,258.5,270.05,77.35,1829.7,1140.45,1103.3,1330.4,788.5,770.1,,169.35,177.5,198.55,339.15,899.55,250.5,510.0,2911.25,343.1,84.45,579.7,615.95,3951.2,27990.0,283.9,313.1,581.55,193.95
2018-04-04,1530.0,367.8,236.6,1136.0,492.25,2766.0,139.9,85.15,414.95,395.05,19685.45,590.45,569.8,274.55,2091.4,328.25,1059.35,959.25,1883.25,3667.15,200.8,1357.45,1803.3,258.6,268.65,76.6,1799.35,1124.2,1078.3,1296.15,775.2,756.55,,166.55,175.4,196.05,336.95,894.9,247.3,502.25,2910.9,355.6,83.05,560.55,606.3,3881.3,28934.25,281.6,305.45,574.45,199.2
2018-04-05,1552.35,375.95,238.0,1142.9,503.1,2808.15,147.8,87.2,422.45,393.9,19538.9,599.15,560.35,277.8,2111.1,332.4,1094.25,962.05,1908.9,3782.15,214.15,1382.2,1824.45,259.65,278.65,76.9,1836.95,1147.55,1118.3,1328.8,786.7,774.6,,168.95,177.45,196.25,338.05,908.2,259.3,507.55,2957.95,362.2,83.5,580.45,617.35,3966.6,29677.75,286.25,313.05,586.1,205.8
2018-04-06,1553.25,379.3,238.65,1143.5,500.2,2786.4,150.4,87.6,433.95,384.95,19916.75,619.4,558.95,275.8,2124.8,334.25,1084.6,952.65,1923.4,3779.45,214.0,1374.8,1829.0,260.85,280.65,74.95,1824.15,1127.0,1119.2,1316.55,809.05,771.95,,169.45,176.95,195.95,338.0,911.0,259.7,512.6,2950.3,364.1,84.5,587.2,618.2,3949.5,29799.15,283.95,314.5,584.5,206.55
2018-04-09,1541.3,377.35,236.6,1157.45,519.3,2772.45,153.3,88.5,450.35,380.3,19962.1,611.9,556.75,274.45,2121.25,330.8,1078.5,953.25,1939.05,3798.7,221.35,1391.6,1836.7,265.8,280.85,74.85,1860.1,1111.25,1118.25,1327.9,793.85,786.2,,169.65,178.4,195.85,337.2,916.0,260.65,510.85,2923.9,358.3,85.0,586.15,614.85,3918.2,29805.75,285.05,316.25,571.8,201.95
2018-04-10,1539.15,387.25,235.0,1156.75,546.15,2766.45,153.25,88.95,451.15,385.55,19747.95,607.85,558.15,280.9,2112.1,331.95,1081.9,948.45,1920.85,3718.3,230.0,1391.5,1817.5,266.7,288.8,73.95,1847.95,1113.4,1113.65,1349.9,789.7,777.6,,168.4,180.2,196.95,335.45,917.05,263.3,508.25,2937.6,353.25,87.1,601.9,626.45,3931.2,29972.05,286.0,319.25,573.75,198.85
2018-04-11,1533.55,377.9,237.5,1155.85,539.8,2755.55,150.6,90.6,417.3,385.3,19889.6,617.65,561.5,283.4,2100.7,327.0,1068.7,967.3,1918.85,3739.35,234.2,1409.15,1812.4,265.15,284.55,73.95,1855.75,1124.25,1126.1,1352.75,789.65,789.0,,168.5,182.15,197.0,337.45,930.85,257.05,521.45,3014.15,355.8,87.0,608.05,633.35,3924.65,30685.1,285.7,312.0,575.2,200.75
2018-04-12,1524.95,372.35,236.0,1165.2,548.75,2763.2,148.85,89.25,418.65,380.2,20179.2,611.8,556.15,281.5,2060.5,326.05,1064.45,1010.05,1928.8,3749.45,232.6,1412.75,1829.05,261.95,286.75,73.15,1857.8,1162.6,1134.6,1357.45,773.35,787.85,,169.5,181.75,196.35,340.7,928.7,253.8,515.9,3139.25,358.4,87.85,598.4,652.8,3872.3,30681.55,286.85,311.75,571.25,202.15
2018-04-13,1536.45,383.1,236.65,1162.2,542.55,2786.2,150.45,88.2,405.4,377.9,19566.05,621.75,555.5,285.0,2089.95,326.85,1063.65,991.25,1925.0,3725.9,237.8,1410.55,1840.6,260.75,288.25,72.15,1861.3,1171.45,1151.1,1354.85,779.85,789.6,,170.95,182.5,197.5,339.7,938.85,250.95,513.0,3153.3,357.05,87.65,594.05,671.55,3878.95,31353.0,294.15,309.55,575.95,202.8
2018-04-16,1576.5,387.5,241.65,1178.85,542.4,2838.3,149.85,88.45,408.2,376.65,19552.9,624.6,584.95,286.1,2102.45,324.7,1092.4,999.9,1942.1,3803.15,239.45,1419.5,1870.45,264.45,287.6,71.3,1864.65,1133.2,1172.1,1368.1,794.4,801.45,,174.1,181.5,199.2,340.05,937.05,249.0,519.4,3187.65,339.15,87.8,591.6,668.7,3917.0,31299.25,289.9,310.35,578.1,193.6
2018-04-17,1586.95,383.4,244.85,1176.0,532.4,2864.2,147.85,88.15,410.65,382.05,19378.25,620.45,579.95,287.6,2105.55,325.65,1094.75,1011.0,1948.5,3769.0,239.4,1445.55,1889.7,267.6,291.75,71.45,1866.85,1125.2,1164.85,1359.55,805.05,809.35,,176.95,180.8,204.9,334.0,944.25,248.15,512.15,3166.6,336.45,87.45,596.05,668.3,3917.25,31027.6,284.75,307.9,575.45,192.75
2018-04-18,1573.5,384.95,244.9,1172.3,518.25,2862.05,141.65,87.85,405.2,384.25,19400.8,609.5,584.6,285.1,2101.65,330.65,1092.85,996.85,1932.6,3737.8,242.8,1450.5,1877.7,275.35,290.05,71.5,1843.6,1125.95,1153.95,1360.1,790.55,798.3,,178.55,182.1,205.0,336.05,938.0,246.45,512.0,3159.1,334.8,87.65,601.6,656.8,3992.35,30873.9,292.65,309.55,588.25,190.4
2018-04-19,1571.35,386.55,247.0,1165.0,512.9,2857.95,145.35,88.45,376.55,395.35,19549.35,617.8,584.4,283.2,2136.3,335.35,1104.15,1018.55,1939.0,3723.6,264.75,1454.2,1858.65,277.35,289.6,70.95,1832.95,1132.85,1153.9,1385.0,790.35,801.9,,177.55,183.95,208.1,335.95,942.3,246.15,509.2,3191.15,334.25,86.8,621.95,665.2,4103.45,30920.15,292.45,318.5,592.9,191.2
2018-04-20,1561.65,381.15,246.6,1159.35,505.7,2852.7,143.6,89.35,371.4,402.0,19481.6,618.6,589.05,292.05,2121.9,330.55,1100.8,1062.35,1955.9,3742.7,262.1,1467.8,1834.15,276.2,282.15,70.85,1812.85,1178.45,1152.85,1365.05,799.9,799.5,,174.35,182.35,207.2,331.1,927.9,241.2,505.3,3402.45,336.0,85.9,606.2,700.5,4080.9,31148.7,298.05,308.55,587.7,190.8
2018-04-23,1565.3,386.35,247.6,1178.7,506.2,2852.15,144.15,89.3,381.35,402.85,19693.1,642.55,600.15,289.8,2135.55,332.55,1085.1,1088.0,1935.75,3718.2,255.6,1452.75,1830.85,275.5,279.4,71.65,1874.4,1187.7,1169.0,1360.0,811.85,824.3,,173.6,181.05,206.8,328.0,936.0,242.45,514.25,3408.65,334.05,85.4,606.6,702.0,4143.7,31065.2,297.35,313.05,595.25,188.1
2018-04-24,1562.0,392.25,247.8,1170.1,504.85,2886.8,141.85,88.35,383.7,406.25,19661.3,636.0,601.9,290.5,2150.15,337.75,1080.4,1061.95,1935.0,3716.9,236.75,1459.65,1859.55,276.0,284.1,71.05,1877.4,1154.5,1166.0,1378.0,819.75,838.55,,172.85,182.65,206.45,329.0,970.05,240.6,517.8,3385.65,331.55,85.25,597.55,682.7,4119.25,31136.75,286.95,324.0,588.7,188.15
2018-04-25,1567.65,391.9,245.7,1163.05,498.4,2900.35,136.35,85.8,385.8,419.85,19572.75,624.1,593.05,290.95,2118.0,327.55,1062.35,1068.8,1920.75,3717.2,232.05,1459.2,1849.5,274.1,278.9,71.4,1847.75,1160.35,1167.85,1362.9,814.7,853.85,,171.85,179.45,207.35,325.45,970.5,237.2,514.05,3470.25,328.6,86.05,586.2,686.4,4134.8,30746.95,287.15,325.25,585.35,185.25
2018-04-26,1545.4,397.1,242.5,1155.7,493.75,2884.95,137.35,86.35,385.5,409.2,19646.85,629.3,599.95,290.8,2076.85,325.35,1069.2,1077.3,1930.25,3761.85,234.0,1491.25,1850.45,278.25,278.85,68.4,1881.9,1176.45,1185.7,1347.2,792.7,858.15,,172.0,180.8,207.0,316.1,975.35,233.2,512.6,3539.25,330.25,86.05,578.2,691.1,4079.45,31205.2,281.35,352.4,581.15,184.95
2018-04-27,1559.6,402.45,244.9,1181.6,539.2,2947.15,143.2,86.85,390.15,408.75,19574.6,630.65,599.85,286.75,2097.75,330.8,1086.8,1041.65,1923.4,3713.5,234.95,1473.95,1853.75,279.4,287.9,68.8,1884.7,1185.2,1188.75,1377.75,801.45,862.7,,170.75,180.7,207.9,320.25,996.3,242.6,524.15,3451.95,336.9,87.8,589.8,670.5,4062.35,31599.3,276.15,348.9,591.65,188.75
2018-04-30,1587.15,407.3,250.65,1201.7,517.3,2952.6,148.95,87.8,387.35,409.55,19404.8,642.0,607.4,285.0,2109.85,325.1,1093.7,1052.75,1944.3,3732.25,235.65,1508.9,1883.25,281.45,284.2,69.15,1898.0,1199.5,1211.1,1400.9,811.55,873.3,,172.15,180.55,207.85,313.1,963.3,246.4,528.4,3532.1,340.4,88.3,594.95,670.6,4108.85,31188.6,278.75,362.0,588.05,191.5
2018-05-02,1557.15,401.1,245.45,1222.3,523.75,2965.95,144.3,87.85,380.95,408.45,19531.6,633.25,612.0,280.5,2118.2,323.7,1095.75,1000.5,1969.5,3664.1,228.05,1471.95,1910.6,287.25,276.9,67.25,1868.3,1197.05,1256.85,1403.15,800.55,863.15,,170.4,180.05,205.15,313.8,972.7,241.0,515.2,3499.75,336.05,87.0,574.5,662.55,4016.5,30522.25,275.55,354.25,596.3,189.1
2018-05-03,1537.8,397.0,239.95,1206.75,533.4,2975.2,143.05,85.55,377.7,404.4,19449.9,618.65,609.3,276.95,2121.1,323.15,1087.5,925.7,1967.9,3655.6,231.55,1452.2,1922.7,285.0,281.9,63.95,1878.15,1182.55,1233.55,1377.75,797.95,865.1,,174.3,181.1,206.45,324.95,961.6,241.9,536.0,3481.85,333.5,86.15,585.45,652.95,3995.35,29878.4,271.45,353.95,593.8,187.0
2018-05-04,1527.75,408.25,236.7,1190.45,520.3,2888.65,139.9,84.25,380.2,396.75,19334.95,612.45,597.0,271.3,2106.6,329.75,1073.9,929.85,1988.5,3659.75,231.35,1464.2,1910.35,277.15,282.85,62.5,1891.15,1173.1,1233.45,1368.7,795.6,854.3,,170.9,180.25,207.4,322.45,953.95,241.95,517.95,3480.75,334.4,85.45,580.75,662.65,3985.85,29208.4,269.9,345.1,586.65,187.5
2018-05-07,1523.5,412.4,235.25,1215.25,536.1,2915.3,143.55,84.35,385.8,398.25,19595.2,620.8,591.05,267.4,2069.5,343.8,1077.0,928.2,1977.4,3648.05,237.85,1497.9,1918.7,282.25,289.8,62.4,1889.8,1183.0,1245.05,1389.15,773.9,885.6,,170.5,183.9,209.3,320.65,971.0,246.5,513.7,3420.95,335.15,85.1,596.45,657.4,4033.4,29766.85,274.75,347.9,599.85,188.45
2018-05-08,1518.65,412.8,229.45,1209.9,542.25,2892.25,145.6,83.3,392.6,401.15,19024.35,617.0,590.65,268.15,2074.95,341.85,1092.6,920.1,1967.05,3657.3,238.7,1496.05,1903.35,282.7,309.3,61.15,1869.6,1165.55,1241.85,1364.9,774.85,865.3,,171.4,183.1,212.75,321.0,967.1,250.05,511.45,3441.2,332.15,84.25,596.35,653.35,4064.1,30427.05,272.75,343.3,594.55,190.05
2018-05-09,1509.65,413.35,224.65,1222.55,548.5,2872.0,144.3,83.6,385.45,402.45,18923.8,609.3,588.0,267.35,2064.35,341.9,1094.95,927.5,1978.4,3654.4,238.15,1496.0,1897.65,282.3,306.8,60.65,1879.1,1170.7,1251.15,1375.65,762.15,860.1,,170.4,182.85,211.85,324.85,976.7,248.0,506.15,3489.3,341.95,83.35,603.15,654.1,3966.25,30315.65,270.25,347.85,591.45,197.45
2018-05-10,1493.85,410.8,220.05,1217.7,547.65,2827.5,138.65,80.6,390.2,412.1,18693.55,594.3,575.5,269.35,1989.6,340.0,1093.05,930.2,1992.7,3646.0,241.3,1486.5,1894.3,280.15,306.85,58.35,1885.35,1168.0,1247.5,1362.2,755.55,856.5,,168.5,188.25,208.0,320.7,981.15,247.95,497.2,3451.25,333.6,82.0,594.15,663.6,3998.55,30647.5,270.45,344.65,588.4,198.6
2018-05-11,1466.55,412.7,217.15,1286.45,553.3,2815.45,142.7,80.65,399.3,386.6,18658.0,611.35,573.7,271.0,1990.5,342.6,1100.75,932.85,2011.75,3618.3,242.7,1504.1,1919.8,283.65,310.95,51.4,1894.25,1180.75,1267.3,1387.4,752.45,869.1,,167.45,187.5,206.85,319.85,989.25,250.35,472.05,3456.95,330.8,81.9,607.25,666.45,4071.6,30873.0,272.65,350.25,592.8,195.3
2018-05-14,1451.2,409.95,217.45,1297.35,551.9,2831.95,142.7,77.75,404.2,383.15,18212.8,613.0,578.5,270.05,2017.75,344.2,1100.1,925.3,2021.75,3648.3,242.1,1503.55,1930.6,284.8,310.1,51.75,1915.0,1189.3,1271.6,1381.75,754.2,852.65,,171.65,187.25,209.05,316.0,986.6,253.6,473.8,3433.55,323.6,81.55,610.35,667.25,4107.05,30495.25,272.35,344.8,577.65,190.95
2018-05-15,1411.65,409.15,214.1,1314.65,549.7,2823.65,139.65,78.1,405.8,381.95,18347.75,603.4,575.8,263.5,2008.5,339.45,1089.45,925.0,2037.8,3649.6,243.9,1515.5,1929.55,281.85,308.25,53.1,1916.95,1194.55,1283.85,1374.2,750.8,847.05,,170.1,189.0,213.85,312.45,978.95,248.0,468.65,3482.4,310.1,81.25,625.95,670.65,4109.3,30772.85,271.0,345.75,572.65,180.95
2018-05-16,1410.8,403.1,211.8,1323.7,550.0,2811.9,132.05,79.3,398.35,375.35,18121.5,601.55,559.9,263.5,1993.95,330.65,1082.4,920.25,2023.35,3575.5,239.75,1574.1,1914.55,285.85,297.25,52.75,1925.6,1189.95,1281.4,1362.35,766.5,853.1,,170.0,186.2,213.45,315.2,956.15,243.1,471.7,3493.9,310.25,81.25,621.25,672.7,3990.75,30565.7,274.7,349.75,575.75,183.8
