,esu18,clv18,gcz18,nqu18
189,2643.5,55.66,1300.1,6312.0
190,2648.75,56.26,1304.8,6392.5
191,2653.0,55.55,1299.2,6414.5
192,2629.75,55.53,1308.6,6350.5
193,2630.0,56.15,1321.3,6464.5
194,2604.0,56.15,1321.0,6457.5
195,2603.0,56.34,1313.9,6457.5
196,2596.5,55.79,1318.9,6433.75
197,2598.0,55.26,1308.3,6423.5
198,2583.5,55.17,1301.5,6359.5
199,2577.5,55.44,1322.6,6352.75
200,2586.25,54.57,1304.0,6380.25
201,2566.0,54.78,1303.4,6305.5
202,2579.0,55.07,1308.8,6333.0
203,2582.75,56.18,1304.9,6351.25
204,2580.5,56.04,1299.9,6348.25
205,2584.75,56.12,1313.2,6353.25
206,2591.75,55.82,1309.0,6379.5
207,2587.5,55.84,1300.6,6354.25
208,2589.5,55.76,1306.4,6350.5
209,2583.5,54.36,1293.8,6326.75
210,2577.5,53.5,1302.4,6272.0
211,2575.5,53.22,1301.6,6277.0
212,2573.5,53.43,1294.7,6286.0
213,2569.0,53.42,1301.7,6260.75
214,2579.0,53.26,1295.9,6251.25
215,2562.0,52.47,1294.0,6121.25
216,2559.0,52.19,1303.4,6100.75
217,2567.75,52.25,1302.4,6115.5
218,2563.5,51.67,1305.2,6100.5
219,2574.25,51.76,1304.4,6146.75
220,2560.75,51.51,1314.1,6133.5
221,2560.5,52.07,1307.5,6154.75
222,2557.25,51.87,1310.7,6159.5
223,2556.5,52.14,1327.9,6156.0
224,2553.0,51.93,1329.1,6135.25
225,2549.75,51.36,1321.0,6110.25
226,2553.25,51.79,1313.2,6118.25
227,2548.5,51.45,1318.1,6100.75
228,2543.75,50.56,1309.1,6100.25
229,2545.25,50.27,1298.7,6099.75
230,2550.0,51.51,1297.0,6101.25
231,2535.75,50.74,1300.5,6039.0
232,2532.0,50.82,1298.3,6032.25
233,2525.5,50.87,1299.6,6014.25
234,2514.75,51.65,1308.6,6016.25
235,2506.25,51.68,1312.3,5971.75
236,2502.75,52.17,1311.7,5974.25
237,2494.0,52.09,1325.2,5925.75
238,2495.5,52.28,1334.9,5909.75
239,2497.5,51.42,1320.8,5969.25
240,2499.25,51.37,1318.1,5979.25
241,2503.25,51.39,1339.7,6012.25
242,2502.75,50.88,1334.1,6031.0
243,2500.5,51.13,1334.3,6004.0
244,2494.25,51.5,1349.1,6012.0
245,2491.5,51.25,1353.2,5986.25
246,2491.75,50.83,1351.3,6024.5
247,2491.25,50.32,1355.9,6020.0
248,2483.0,50.29,1359.3,6006.25
249,2458.0,49.94,1374.5,5940.0
250,2461.75,50.91,1373.2,5993.0
251,2460.75,50.88,1361.1,5977.75
252,2455.0,50.6,1366.4,5962.0
253,2469.25,50.1,1352.0,6010.75
254,2465.0,50.0,1343.4,6013.25
255,2450.75,48.26,1335.8,5957.25
256,2442.0,48.81,1340.6,5891.75
257,2439.0,48.41,1336.9,5867.5
258,2437.75,49.17,1319.1,5847.75
259,2436.0,48.8,1313.2,5863.25
260,2436.75,49.47,1316.0,5870.5
261,2448.0,48.87,1312.7,5901.5
262,2423.25,48.21,1318.2,5817.0
263,2422.0,49.31,1312.9,5824.5
264,2424.75,48.05,1314.0,5823.25
265,2463.0,47.9,1304.6,5946.5
266,2459.0,48.46,1301.3,5935.0
267,2458.75,48.52,1311.9,5933.0
268,2435.5,49.44,1315.2,5861.25
269,2432.75,49.24,1311.6,5812.75
270,2468.25,50.24,1300.8,5945.0
271,2468.0,49.97,1284.2,5940.5
272,2472.5,50.21,1285.8,5956.25
273,2467.25,50.24,1285.5,5920.5
274,2467.0,49.75,1295.4,5912.5
275,2468.75,50.19,1299.3,5933.0
276,2467.5,49.9,1300.1,5911.25
277,2463.0,50.51,1294.3,5904.75
278,2465.5,50.01,1296.2,5932.5
279,2467.0,49.79,1287.3,5931.75
280,2468.5,49.63,1276.4,5970.25
281,2469.25,49.23,1279.3,5956.25
282,2463.5,48.13,1281.5,5956.0
283,2464.25,47.68,1282.0,5941.0
284,2466.0,48.69,1273.2,5947.75
285,2466.0,49.1,1269.8,5940.5
286,2452.5,48.5,1269.6,5904.75
287,2453.25,48.35,1261.5,5876.75
288,2450.75,48.64,1254.9,5865.0
289,2440.5,48.15,1244.6,5819.5
290,2435.0,47.74,1247.3,5807.5
291,2419.25,47.76,1243.8,5741.5
292,2420.0,47.3,1242.1,5715.75
293,2418.0,46.9,1238.5,5677.5
294,2403.75,48.08,1252.8,5618.5
295,2423.5,47.91,1250.0,5673.75
296,2420.5,49.49,1247.0,5611.25
297,2416.25,48.56,1270.1,5675.0
298,2416.5,47.61,1273.8,5675.75
299,2435.0,47.36,1276.9,5787.25
300,2417.0,46.85,1274.5,5700.0
301,2432.25,46.04,1273.8,5802.25
302,2431.25,45.8,1283.8,5836.0
303,2428.0,45.63,1276.5,5808.5
304,2429.5,45.49,1272.9,5818.25
305,2433.25,46.36,1270.6,5755.0
306,2445.25,47.04,1273.9,5788.25
307,2428.75,47.44,1283.6,5706.0
308,2430.0,47.17,1281.7,5730.5
