,CL,GC,QM,NG,QG
177,69.01,,,,
178,69.17,,,,
179,66.80199999999999,,,,
180,66.542,,,,
181,67.21600000000001,,,,
182,66.696,,,,
183,66.33,,,,
184,64.46,,,,
185,64.88,,,,
186,65.21,,,,
187,65.42,,,,
188,65.84,,,,
189,67.86,,,,
190,67.83,,,,
191,68.72,,,,
192,68.87,,,,
193,68.53,,,,
194,69.51,,,,
195,70.25,,,,
196,69.8,,,,
197,69.87,,,,
198,68.72,,,,
199,67.77,,,,
200,67.75,,,,
201,67.51400000000001,,,,
202,69.166,,,,
203,70.244,,,,
204,68.446,,,,
205,68.77,,,,
