,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
25,KOTAKBANK,BANKBARODA,0.0000,-2.59,0.68,1567.03,-2.06,141.90256270940867
26,BANKBARODA,PNB,0.0000,0.41,0.28,98.50,-2.48,101.02564102564102
27,RBLBANK,BANKBARODA,0.0946,-0.36,0.68,579.80,-1.13,117.10765501918802
28,SBIN,BANKBARODA,0.0000,0.64,0.68,183.64,1.03,69.10253998118533
29,BANKBARODA,YESBANK,0.0000,0.17,0.64,80.49,-1.52,82.55384615384614
30,HDFCBANK,ICICIBANK,0.0500,-0.60,0.95,2184.86,-0.56,112.33213367609254
31,HDFCBANK,IDFCBANK,0.0000,-11.37,0.61,2518.85,-2.59,129.50385604113112
32,HDFCBANK,INDUSINDBK,0.0000,0.67,1.23,766.02,1.72,39.3840616966581
33,HDFCBANK,KOTAKBANK,0.0000,0.79,0.84,1043.23,0.56,53.63650385604113
34,HDFCBANK,PNB,0.0000,-1.60,0.28,2156.30,-1.26,110.86375321336763
35,HDFCBANK,RBLBANK,0.0000,1.72,0.91,1092.74,0.03,56.182005141388174
36,HDFCBANK,SBIN,0.0000,1.39,0.95,1624.94,-0.54,83.54447300771209
37,HDFCBANK,YESBANK,0.0000,1.32,0.64,1564.70,1.07,80.44730077120822
38,ICICIBANK,IDFCBANK,0.0000,2.22,0.61,202.21,1.62,65.05066752452952
39,INDUSINDBK,ICICIBANK,0.0000,-1.44,0.95,2281.41,-2.15,142.588125
40,ICICIBANK,KOTAKBANK,0.0000,-0.08,0.84,396.31,-0.02,127.4923596589995
41,ICICIBANK,PNB,0.0000,0.47,0.28,258.07,1.12,83.02074955766446
42,ICICIBANK,RBLBANK,0.0236,0.09,0.91,253.46,0.46,81.53771915714974
43,ICICIBANK,SBIN,0.0000,0.87,0.95,66.92,0.85,21.52806820009651
44,ICICIBANK,YESBANK,0.5168,0.03,0.64,293.05,0.46,94.2737654817436
45,INDUSINDBK,IDFCBANK,0.0000,-9.92,0.61,2293.61,-3.63,143.350625
46,KOTAKBANK,IDFCBANK,0.0000,-13.74,0.61,1832.89,-3.46,165.97754233451056
47,IDFCBANK,PNB,0.0000,0.18,0.28,28.39,-1.88,84.11851851851851
48,RBLBANK,IDFCBANK,0.0000,-3.22,0.61,676.34,-1.80,136.60674611189657
49,SBIN,IDFCBANK,0.0011,0.94,0.61,229.05,0.24,86.19002822201317
50,YESBANK,IDFCBANK,0.2987,0.55,0.61,307.61,-2.66,139.0641952983725
51,INDUSINDBK,KOTAKBANK,0.0000,0.90,0.84,750.48,-2.64,46.905
52,INDUSINDBK,PNB,0.0000,-1.96,0.28,2030.21,-3.04,126.888125
53,INDUSINDBK,RBLBANK,0.0000,1.68,0.91,952.13,-2.15,59.508125
54,INDUSINDBK,SBIN,0.3246,0.39,0.95,1738.36,-2.13,108.6475
55,INDUSINDBK,YESBANK,0.0000,1.87,0.64,1222.30,-0.42,76.39375
56,KOTAKBANK,PNB,0.0000,-2.35,0.28,1433.91,-2.03,129.84786742732953
57,RBLBANK,KOTAKBANK,0.0000,0.29,0.84,181.35,-0.15,36.628963845687736
58,SBIN,KOTAKBANK,0.5372,0.01,0.84,260.13,-0.22,97.88523047977422
59,KOTAKBANK,YESBANK,0.0000,1.44,0.64,730.83,0.59,66.18038576473785
60,RBLBANK,PNB,0.0000,-0.65,0.28,592.06,-1.38,119.5839224399111
61,SBIN,PNB,0.0000,0.33,0.28,240.32,0.24,90.43085606773283
62,YESBANK,PNB,0.0371,0.23,0.28,310.35,-2.66,140.30289330922244
63,SBIN,RBLBANK,0.0000,0.24,0.91,146.57,0.13,55.15333960489181
64,RBLBANK,YESBANK,0.0000,0.48,0.64,371.62,0.45,75.05958392243991
65,SBIN,YESBANK,0.0000,0.19,0.64,209.40,0.73,78.79586077140169
