,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error
50,HINDZINC,JSWSTEEL,0.00,-0.11,0.77,335.86,0.47
51,HINDZINC,JSLHISAR,0.00,0.42,0.45,229.96,1.24
52,HINDZINC,JINDALSTEL,0.00,0.48,0.79,186.41,0.28
53,HINDZINC,MOIL,0.00,0.45,0.64,208.88,0.78
54,HINDZINC,NMDC,0.00,0.80,0.65,203.59,0.34
55,HINDZINC,NATIONALUM,0.00,1.41,0.80,199.50,0.48
56,HINDZINC,SAIL,0.00,0.64,0.83,248.17,0.16
57,HINDZINC,TATASTEEL,0.00,0.13,0.71,217.44,-0.10
58,HINDZINC,VEDL,0.00,0.28,0.47,223.50,0.93
59,HINDZINC,WELCORP,0.00,0.46,0.54,231.67,-0.44
60,JSWSTEEL,JSLHISAR,0.00,-0.63,0.45,426.69,2.12
61,JINDALSTEL,JSWSTEEL,0.00,-0.23,0.77,308.90,0.37
62,JSWSTEEL,MOIL,0.00,-0.69,0.64,458.82,2.26
63,JSWSTEEL,NMDC,0.00,-0.92,0.65,432.42,2.48
64,NATIONALUM,JSWSTEEL,0.84,-0.00,0.77,71.76,-0.79
65,SAIL,JSWSTEEL,0.00,-0.06,0.77,97.69,-0.29
66,JSWSTEEL,TATASTEEL,0.00,-0.16,0.71,419.52,2.60
67,JSWSTEEL,VEDL,0.00,-0.44,0.47,440.58,2.41
68,JSWSTEEL,WELCORP,0.30,0.12,0.54,304.69,2.44
69,JINDALSTEL,JSLHISAR,0.00,0.69,0.45,120.21,1.26
70,MOIL,JSLHISAR,0.00,0.76,0.45,72.92,0.34
71,NMDC,JSLHISAR,0.00,0.45,0.45,45.31,1.61
72,NATIONALUM,JSLHISAR,0.00,0.15,0.45,45.12,-0.01
73,SAIL,JSLHISAR,0.00,0.16,0.45,54.04,-0.15
74,TATASTEEL,JSLHISAR,0.00,1.82,0.45,309.78,1.55
75,VEDL,JSLHISAR,0.00,1.41,0.45,36.60,0.58
76,WELCORP,JSLHISAR,0.00,0.38,0.45,82.34,1.28
77,JINDALSTEL,MOIL,0.00,0.80,0.64,74.97,0.72
78,JINDALSTEL,NMDC,0.00,1.35,0.65,73.05,-0.08
79,NATIONALUM,JINDALSTEL,0.00,0.19,0.79,25.48,-0.71
80,SAIL,JINDALSTEL,0.00,0.20,0.79,34.09,-0.76
81,JINDALSTEL,TATASTEEL,0.00,0.26,0.71,72.72,-0.65
82,JINDALSTEL,VEDL,0.00,0.43,0.47,117.80,0.56
83,JINDALSTEL,WELCORP,0.00,0.66,0.54,138.08,-0.89
84,NMDC,MOIL,0.00,0.56,0.64,7.47,1.57
85,NATIONALUM,MOIL,0.00,0.18,0.64,35.45,-0.25
86,SAIL,MOIL,0.00,0.21,0.64,37.12,-0.24
87,TATASTEEL,MOIL,0.00,2.50,0.64,113.66,2.01
88,MOIL,VEDL,0.00,0.49,0.47,67.75,-0.48
89,MOIL,WELCORP,0.00,0.78,0.54,86.10,-1.78
90,NATIONALUM,NMDC,0.00,0.31,0.65,33.12,-0.67
91,SAIL,NMDC,0.00,0.37,0.65,35.67,-0.74
92,TATASTEEL,NMDC,0.00,4.35,0.65,91.38,1.09
93,NMDC,VEDL,0.00,0.28,0.47,43.85,0.66
94,NMDC,WELCORP,0.00,0.48,0.54,49.14,-1.14
95,SAIL,NATIONALUM,0.00,0.48,0.80,45.50,-0.57
96,NATIONALUM,TATASTEEL,0.00,0.06,0.71,35.17,-0.98
97,NATIONALUM,VEDL,0.00,0.08,0.47,49.70,-0.43
98,NATIONALUM,WELCORP,0.00,0.16,0.54,47.57,-1.19
99,SAIL,TATASTEEL,0.00,0.09,0.71,25.81,-1.38
100,SAIL,VEDL,0.00,0.08,0.47,57.32,-0.49
101,SAIL,WELCORP,0.00,0.16,0.54,56.37,-1.20
102,TATASTEEL,VEDL,0.00,1.19,0.47,288.38,1.15
103,TATASTEEL,WELCORP,0.00,2.44,0.54,255.20,-0.57
104,WELCORP,VEDL,0.00,0.29,0.47,67.41,1.25
