,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error
41,ASHOKLEY,TATAMOTORS,0.00,0.06,0.46,118.86,-0.91
42,BAJAJ-AUTO,BHARATFORG,0.00,1.46,0.97,1897.82,-0.16
43,BOSCHLTD,BAJAJ-AUTO,0.09,0.72,1.21,16849.73,0.86
44,EICHERMOT,BAJAJ-AUTO,0.00,-2.10,1.21,34786.62,-2.65
45,BAJAJ-AUTO,EXIDEIND,0.00,-4.36,0.74,3982.80,-0.45
46,HEROMOTOCO,BAJAJ-AUTO,0.00,0.50,1.21,2067.87,-2.07
47,MRF,BAJAJ-AUTO,0.00,-7.85,1.21,96570.24,-3.59
48,BAJAJ-AUTO,M&M,0.00,-1.18,0.77,3898.79,-0.56
49,MARUTI,BAJAJ-AUTO,0.00,0.48,1.21,7599.09,-3.60
50,BAJAJ-AUTO,MOTHERSUMI,0.00,3.89,0.86,1647.95,0.84
51,BAJAJ-AUTO,TVSMOTOR,0.00,2.29,0.78,1495.46,-0.44
52,BAJAJ-AUTO,TATAMTRDVR,0.00,4.10,0.44,2162.21,0.56
53,BAJAJ-AUTO,TATAMOTORS,0.00,2.48,0.46,2111.99,0.40
54,BOSCHLTD,BHARATFORG,0.00,5.98,0.97,14822.15,1.29
55,EICHERMOT,BHARATFORG,0.02,3.96,0.97,25975.75,-2.06
56,BHARATFORG,EXIDEIND,0.00,-1.49,0.74,1057.95,-1.38
57,HEROMOTOCO,BHARATFORG,0.00,1.95,0.97,2175.39,-1.64
58,MRF,BHARATFORG,0.02,-10.28,0.97,80839.25,-3.16
59,BHARATFORG,M&M,0.00,-0.50,0.77,1113.59,-1.62
60,MARUTI,BHARATFORG,0.14,-0.68,0.97,9466.99,-3.87
61,BHARATFORG,MOTHERSUMI,0.00,1.40,0.86,237.60,0.41
62,BHARATFORG,TVSMOTOR,0.00,0.71,0.78,253.85,-1.55
63,BHARATFORG,TATAMTRDVR,0.00,1.28,0.44,457.55,-0.37
64,BHARATFORG,TATAMOTORS,0.00,0.82,0.46,428.62,-0.50
65,EICHERMOT,BOSCHLTD,0.58,0.05,1.40,27740.97,-2.32
66,BOSCHLTD,EXIDEIND,0.39,2.61,0.74,18292.55,0.71
67,HEROMOTOCO,BOSCHLTD,0.02,-0.03,1.40,4102.06,-2.10
68,MRF,BOSCHLTD,0.00,-0.71,1.40,87231.22,-2.76
69,BOSCHLTD,M&M,0.72,0.33,0.77,18660.56,0.74
70,MARUTI,BOSCHLTD,0.52,0.02,1.40,8703.35,-3.72
71,BOSCHLTD,MOTHERSUMI,0.00,13.13,0.86,14705.66,1.75
72,BOSCHLTD,TVSMOTOR,0.00,5.31,0.78,15679.90,1.01
73,BOSCHLTD,TATAMTRDVR,0.07,4.33,0.44,18155.87,0.98
74,BOSCHLTD,TATAMOTORS,0.00,4.35,0.46,17553.43,1.11
75,EICHERMOT,EXIDEIND,0.01,9.27,0.74,26408.03,-2.47
76,EICHERMOT,HEROMOTOCO,0.00,2.77,1.44,18953.99,-1.52
77,EICHERMOT,MRF,0.00,0.19,1.74,14345.99,-0.98
78,EICHERMOT,M&M,0.03,2.46,0.77,26618.18,-2.42
79,MARUTI,EICHERMOT,0.00,-0.07,1.74,10904.67,-4.40
80,EICHERMOT,MOTHERSUMI,0.05,6.55,0.86,26592.19,-1.95
81,EICHERMOT,TVSMOTOR,0.80,0.41,0.78,28454.70,-2.27
82,EICHERMOT,TATAMTRDVR,0.64,1.39,0.44,28453.07,-2.23
83,EICHERMOT,TATAMOTORS,0.71,-0.66,0.46,28913.76,-2.33
84,HEROMOTOCO,EXIDEIND,0.00,-4.26,0.74,4569.81,-2.19
85,MRF,EXIDEIND,0.00,54.61,0.74,60249.31,-3.52
86,M&M,EXIDEIND,0.00,3.09,0.74,80.84,-0.26
87,MARUTI,EXIDEIND,0.11,1.53,0.74,8617.53,-3.79
88,MOTHERSUMI,EXIDEIND,0.00,-0.58,0.74,466.44,-2.38
89,TVSMOTOR,EXIDEIND,0.00,-1.75,0.74,1048.15,-0.19
90,EXIDEIND,TATAMTRDVR,0.00,-0.65,0.44,364.82,-1.06
91,EXIDEIND,TATAMOTORS,0.00,-0.40,0.46,374.19,-0.90
92,MRF,HEROMOTOCO,0.06,2.51,1.44,64958.62,-2.57
93,HEROMOTOCO,M&M,0.00,-1.26,0.77,4580.82,-2.25
94,MARUTI,HEROMOTOCO,0.41,0.11,1.44,8606.12,-3.55
95,HEROMOTOCO,MOTHERSUMI,0.00,3.96,0.86,2238.76,-0.92
96,HEROMOTOCO,TVSMOTOR,0.00,2.05,0.78,2255.63,-2.34
97,HEROMOTOCO,TATAMTRDVR,0.00,4.34,0.44,2732.44,-1.44
98,HEROMOTOCO,TATAMOTORS,0.00,2.38,0.46,2756.79,-1.62
99,MRF,M&M,0.00,14.48,0.77,61511.34,-3.33
100,MARUTI,MRF,0.00,0.03,1.74,6745.57,-2.96
101,MRF,MOTHERSUMI,0.27,-9.45,0.86,76814.25,-3.07
102,MRF,TVSMOTOR,0.00,-18.00,0.78,84813.04,-3.27
103,MRF,TATAMTRDVR,0.00,-28.81,0.44,78971.48,-3.48
104,MRF,TATAMOTORS,0.00,-20.53,0.46,80307.10,-3.57
105,MARUTI,M&M,0.56,0.17,0.77,8852.14,-3.71
106,MOTHERSUMI,M&M,0.00,-0.20,0.77,495.33,-2.56
107,TVSMOTOR,M&M,0.00,-0.55,0.77,1081.48,-0.32
108,M&M,TATAMTRDVR,0.00,-2.16,0.44,1237.54,-1.37
109,M&M,TATAMOTORS,0.00,-1.35,0.46,1275.21,-1.29
110,MARUTI,MOTHERSUMI,0.00,3.69,0.86,7807.77,-3.07
111,MARUTI,TVSMOTOR,0.10,0.69,0.78,8576.80,-3.63
112,MARUTI,TATAMTRDVR,0.09,1.31,0.44,8760.50,-3.50
113,MARUTI,TATAMOTORS,0.07,0.86,0.46,8724.57,-3.51
114,MOTHERSUMI,TVSMOTOR,0.00,0.39,0.78,85.34,-3.21
115,MOTHERSUMI,TATAMTRDVR,0.00,0.76,0.44,185.03,-1.91
116,MOTHERSUMI,TATAMOTORS,0.00,0.47,0.46,174.20,-2.26
117,TVSMOTOR,TATAMTRDVR,0.00,1.72,0.44,303.43,2.15
118,TVSMOTOR,TATAMOTORS,0.00,1.05,0.46,279.10,1.99
119,TATAMOTORS,TATAMTRDVR,0.00,1.64,0.44,22.41,0.91
