Date,APLAPOLLO,COALINDIA,HINDALCO,HINDCOPPER,HINDZINC,JSWSTEEL,JSLHISAR,JINDALSTEL,MOIL,NMDC,NATIONALUM,SAIL,TATASTEEL,VEDL,WELCORP
2018-02-14,2054.6,306.95,243.25,79.35,309.1,309.55,215.85,270.05,230.5,133.65,74.45,93.55,708.0,315.75,172.65
2018-02-15,2046.2,308.1,251.5,78.25,313.4,307.8,207.05,265.35,230.9,134.9,75.2,92.3,700.55,324.4,168.15
2018-02-16,2068.75,303.5,247.65,76.4,313.05,312.4,201.55,251.5,224.1,131.2,70.0,88.4,689.75,319.75,158.85
2018-02-19,2048.05,305.4,247.55,74.5,312.3,302.7,194.0,250.0,218.8,128.4,68.25,87.3,648.85,320.35,153.1
2018-02-20,2012.25,310.4,248.8,74.6,315.4,305.6,190.65,252.0,219.25,130.9,67.3,86.5,651.3,328.7,154.7
2018-02-21,2010.75,310.55,240.65,73.3,316.2,298.3,184.5,247.3,215.35,128.95,66.45,84.15,640.95,327.6,159.55
2018-02-22,1988.6,311.55,239.9,73.1,314.15,297.7,178.95,250.25,210.0,126.65,65.0,83.9,637.55,328.65,161.05
2018-02-23,1994.6,310.95,246.55,74.45,328.0,306.95,183.05,265.0,215.45,130.15,67.95,87.05,677.75,337.9,167.15
2018-02-26,2110.35,314.05,246.2,74.3,332.3,316.1,193.15,267.45,211.15,131.85,67.75,86.5,680.2,343.15,171.7
2018-02-27,2051.4,309.0,244.3,73.9,329.4,318.1,189.1,264.05,213.55,131.1,68.25,84.25,671.75,340.6,175.4
2018-02-28,2052.9,309.15,245.4,73.0,326.45,312.2,185.85,254.4,221.35,129.35,68.55,83.2,671.6,329.75,175.7
2018-03-01,2066.5,312.9,240.8,72.55,315.6,305.5,194.25,248.85,224.25,130.7,67.3,80.9,675.05,323.25,178.55
2018-03-05,2040.15,305.8,229.6,71.0,313.65,291.65,182.9,238.05,216.0,122.9,63.85,78.05,655.9,315.9,172.85
2018-03-06,2003.9,307.0,225.85,69.6,314.7,293.5,180.25,233.65,211.7,122.9,62.2,75.75,659.75,313.45,173.25
2018-03-07,1956.75,306.95,224.45,65.3,308.75,289.5,169.15,231.85,201.35,123.85,62.9,73.75,647.7,309.35,165.7
2018-03-08,1946.55,305.5,222.7,64.55,313.85,289.25,168.9,234.7,205.3,124.05,63.95,74.3,635.9,308.4,165.7
2018-03-09,1923.25,304.05,220.2,63.65,313.3,291.95,162.4,222.25,203.45,121.9,62.5,69.5,606.75,304.15,165.8
2018-03-12,1885.15,297.65,227.65,64.75,318.85,297.85,171.5,230.4,205.3,123.75,63.85,72.35,622.9,317.4,158.45
2018-03-13,1984.95,294.85,226.15,65.85,319.0,303.5,181.65,229.9,204.3,124.2,63.9,72.6,628.85,321.05,159.2
2018-03-14,1987.05,293.1,226.7,65.75,320.6,300.45,177.3,230.25,200.15,124.6,64.1,72.65,620.55,318.95,156.35
2018-03-15,2022.6,295.5,224.9,74.15,318.45,295.15,186.65,230.7,204.55,124.3,65.8,75.3,611.75,316.95,158.65
2018-03-16,2003.1,278.2,221.7,71.7,314.9,290.25,188.85,226.2,199.65,126.3,66.25,72.85,600.2,308.9,150.45
2018-03-19,1941.9,272.3,214.55,67.3,308.7,283.6,177.45,220.95,193.6,117.9,67.5,68.9,574.95,307.2,148.6
2018-03-20,1936.75,270.25,217.3,67.1,313.0,285.5,176.35,233.55,194.2,118.4,65.95,72.25,593.0,287.1,146.65
2018-03-21,1929.6,270.9,214.7,67.0,311.4,288.4,175.15,230.6,195.1,120.95,64.85,72.15,582.25,285.75,139.8
2018-03-22,1884.6,269.4,216.8,66.1,312.75,286.0,165.4,224.9,193.25,121.0,69.2,73.7,580.9,291.8,130.85
2018-03-23,1885.2,269.95,206.1,63.2,301.45,286.0,155.3,213.75,186.8,120.15,66.45,68.7,566.5,276.0,131.05
2018-03-26,1871.5,273.45,210.55,63.55,303.55,293.9,152.6,216.95,184.45,122.15,67.45,71.45,581.55,283.3,130.9
2018-03-27,1973.0,276.2,218.5,64.4,305.95,298.85,157.2,229.75,195.05,121.55,67.7,73.2,590.0,287.0,135.5
2018-03-28,1986.8,283.3,214.55,62.9,300.55,288.15,158.0,219.1,195.65,118.55,66.45,70.2,571.05,277.85,134.9
2018-04-02,2048.0,277.5,211.25,64.9,303.2,296.55,168.25,225.0,200.65,117.85,67.3,73.05,578.8,282.3,135.75
2018-04-03,2020.0,278.95,207.95,67.5,309.2,303.05,170.35,229.4,204.95,118.6,68.15,74.95,579.7,283.2,139.25
2018-04-04,2045.65,274.55,200.8,66.05,307.25,295.85,170.0,219.6,205.2,115.9,70.1,72.3,560.55,274.3,135.05
2018-04-05,2116.85,277.8,214.15,68.2,313.5,308.4,177.1,235.9,209.3,117.85,72.05,75.25,580.45,289.9,139.85
2018-04-06,2105.25,275.8,214.0,72.1,314.3,308.2,173.75,240.05,209.8,118.95,70.6,75.65,587.2,285.05,138.0
2018-04-09,2120.9,274.45,221.35,71.4,313.6,309.4,171.25,242.9,208.25,119.15,70.35,75.1,586.15,281.35,142.1
2018-04-10,2163.6,280.9,230.0,72.8,315.0,311.35,172.15,244.9,211.3,123.45,72.35,76.55,601.9,284.1,145.85
2018-04-11,2133.0,283.4,234.2,74.3,318.7,312.2,177.7,247.8,208.8,121.85,75.0,77.05,608.05,296.8,146.1
2018-04-12,2165.35,281.5,232.6,73.45,312.95,308.25,181.25,243.75,209.65,121.1,76.35,74.0,598.4,288.7,148.55
2018-04-13,2178.8,285.0,237.8,72.4,314.4,308.5,182.9,251.15,214.85,123.8,76.9,76.7,594.05,291.65,152.9
2018-04-16,2184.85,286.1,239.45,72.05,317.1,308.9,189.0,254.2,215.75,124.45,76.95,77.7,591.6,290.3,151.5
2018-04-17,2163.85,287.6,239.4,72.35,318.35,309.15,190.3,251.85,218.5,124.55,78.1,77.35,596.05,288.8,146.95
2018-04-18,2131.05,285.1,242.8,71.4,323.4,309.95,193.8,249.9,211.4,122.85,80.15,77.3,601.6,291.1,143.25
2018-04-19,2178.25,283.2,264.75,79.8,328.95,322.85,194.3,260.05,217.25,125.25,87.25,80.8,621.95,311.7,152.35
2018-04-20,2129.5,292.05,262.1,77.05,327.65,322.85,194.2,251.7,213.85,123.0,86.05,79.7,606.2,308.6,148.75
2018-04-23,2158.0,289.8,255.6,76.65,323.2,321.8,195.3,249.9,217.7,124.5,84.85,79.55,606.6,305.05,148.75
2018-04-24,2178.95,290.5,236.75,74.65,321.0,324.75,193.5,253.4,214.5,123.95,78.6,78.85,597.55,297.4,144.15
2018-04-25,2164.8,290.95,232.05,75.3,324.4,321.7,189.65,248.5,210.3,125.0,77.15,77.55,586.2,290.2,137.05
2018-04-26,2156.8,290.8,234.0,74.45,320.0,327.7,185.85,251.6,209.7,123.35,79.45,75.95,578.2,290.3,136.5
2018-04-27,2188.9,286.75,234.95,74.15,327.1,327.6,184.55,253.6,210.1,123.95,81.7,77.35,589.8,294.05,134.95
2018-04-30,2194.2,285.0,235.65,73.35,326.85,325.0,184.6,252.1,205.25,125.0,80.55,77.65,594.95,298.4,142.1
2018-05-02,2165.45,280.5,228.05,70.65,308.1,315.15,180.5,238.45,197.25,123.85,79.5,73.0,574.5,283.4,143.15
2018-05-03,2174.0,276.95,231.55,70.4,309.45,319.3,179.8,240.3,198.7,122.25,80.45,73.1,585.45,286.2,144.0
2018-05-04,2183.9,271.3,231.35,69.65,303.5,317.4,179.55,240.65,199.85,120.6,78.35,72.35,580.75,281.65,140.25
2018-05-07,2130.15,267.4,237.85,70.1,302.15,325.8,179.75,256.3,196.65,121.05,79.95,75.0,596.45,285.45,149.75
2018-05-08,2120.0,268.15,238.7,72.25,300.8,324.05,179.7,257.6,196.55,119.6,78.95,76.25,596.35,282.9,146.9
2018-05-09,2125.65,267.35,238.15,71.7,300.1,321.75,177.4,261.8,195.7,119.55,79.15,75.6,603.15,283.15,143.3
2018-05-10,2111.5,269.35,241.3,71.05,295.2,319.55,175.65,244.7,194.35,116.25,76.95,72.6,594.15,279.7,143.55
2018-05-11,2113.8,271.0,242.7,74.0,298.8,323.75,173.9,256.4,194.2,115.9,78.1,73.4,607.25,286.95,143.25
2018-05-14,2101.3,270.05,242.1,72.4,297.6,329.05,170.35,259.45,192.4,114.8,75.3,72.75,610.35,282.1,135.3
2018-05-15,2075.3,263.5,243.9,70.85,297.4,334.55,160.2,252.25,187.0,115.05,73.45,74.05,625.95,281.7,136.7
2018-05-16,2037.9,263.5,239.75,70.25,298.3,336.6,161.5,254.05,185.85,115.65,75.35,73.8,621.25,278.8,136.6
2018-05-17,1998.35,271.5,233.05,71.5,299.25,332.0,169.5,256.45,192.05,114.9,75.15,76.55,610.3,276.95,137.3
2018-05-18,1984.75,266.8,231.5,69.25,297.75,319.45,164.95,245.95,193.2,114.8,70.85,73.6,591.4,270.3,132.1
2018-05-21,1930.9,270.25,228.25,67.95,289.55,309.25,159.55,239.85,189.7,113.4,73.3,71.85,577.0,263.85,129.1
2018-05-22,1908.05,279.05,234.95,68.7,288.45,318.4,160.85,240.35,190.7,113.55,73.45,72.55,576.8,269.95,131.3
2018-05-23,1899.85,276.2,229.95,70.0,284.2,310.0,164.65,226.15,196.55,112.85,70.6,68.45,540.05,252.65,129.1
2018-05-24,1898.9,280.1,234.1,70.3,283.3,314.15,160.05,227.65,195.55,115.85,70.85,69.9,548.2,250.6,130.8
2018-05-25,1876.05,275.6,245.5,71.15,290.6,326.05,159.7,235.65,196.6,116.6,73.05,72.5,568.25,251.8,136.5
2018-05-28,1916.2,284.8,241.65,71.35,289.95,327.1,175.6,236.95,194.9,119.45,72.85,75.7,576.65,253.65,138.05
2018-05-29,1931.9,282.35,242.5,74.95,289.3,331.75,180.95,234.3,193.45,120.1,71.0,76.7,575.35,253.25,138.25
2018-05-30,1887.8,289.05,238.1,75.75,294.85,332.55,178.3,234.0,188.7,119.75,70.55,77.8,577.9,251.1,138.65
2018-05-31,1873.5,296.25,234.2,70.45,296.35,331.9,176.6,229.55,186.65,117.45,70.45,75.95,575.65,248.3,133.55
2018-06-01,1816.25,294.65,238.5,68.75,291.25,331.9,174.4,226.6,186.15,115.45,70.05,72.25,560.65,248.25,134.15
2018-06-04,1799.6,292.6,241.6,66.5,286.15,331.85,173.15,229.95,183.1,114.85,68.8,75.5,566.15,246.75,130.2
2018-06-05,1721.15,285.25,242.05,64.6,284.65,329.1,163.05,228.35,179.05,112.95,68.8,75.7,572.1,246.25,122.0
2018-06-06,1789.25,290.65,248.1,67.3,297.45,338.0,160.25,234.9,181.6,114.55,71.7,77.3,579.75,246.45,132.0
2018-06-07,1797.85,288.9,248.6,69.85,297.45,343.5,161.95,244.55,184.35,116.1,73.6,82.8,602.1,247.2,134.1
2018-06-08,1789.0,289.9,242.15,70.55,296.05,343.25,164.1,240.95,186.8,118.1,73.45,83.85,600.5,246.3,130.9
2018-06-11,1775.3,287.9,244.7,70.45,302.05,340.95,162.45,241.85,186.8,116.05,71.4,86.6,588.65,246.1,136.3
2018-06-12,1795.5,283.55,240.65,73.4,303.75,341.35,161.15,246.7,187.0,116.95,73.2,89.3,580.0,245.5,137.2
2018-06-13,1799.3,284.0,245.0,71.35,301.4,343.0,164.4,245.9,185.7,115.65,70.85,87.9,567.6,243.1,134.75
2018-06-14,1798.85,283.2,244.75,73.0,301.45,339.05,164.15,243.6,187.65,115.5,71.95,86.35,569.55,240.05,133.65
2018-06-15,1797.5,279.05,237.4,71.6,304.3,332.55,159.65,234.0,184.6,112.95,69.15,85.55,566.0,238.6,134.85
2018-06-18,1796.0,274.2,231.0,70.8,297.9,327.15,162.7,229.55,182.6,112.05,68.85,86.95,558.5,232.2,129.9
2018-06-19,1795.5,272.95,225.8,69.55,295.9,327.5,156.25,222.35,179.95,108.0,69.55,83.2,555.0,224.3,126.0
2018-06-20,1791.95,270.6,226.2,69.55,295.0,335.15,156.55,230.4,181.0,109.15,67.3,84.45,563.25,228.7,124.8
2018-06-21,1793.2,267.7,222.3,68.15,290.4,332.85,148.55,225.15,178.45,107.3,65.6,82.45,557.75,229.05,123.4
2018-06-22,1758.5,264.85,222.0,67.5,289.05,336.95,145.3,230.9,177.2,109.6,64.55,83.9,561.85,228.55,123.7
2018-06-25,1786.1,259.0,218.4,66.45,288.55,332.1,147.35,226.05,177.0,108.25,62.85,82.05,558.6,230.65,122.4
2018-06-26,1733.25,265.15,222.95,65.25,278.1,322.85,145.4,223.3,175.25,107.55,60.4,81.75,549.5,231.45,117.45
2018-06-27,1696.4,265.9,217.9,62.05,273.4,318.3,138.75,213.1,174.8,105.9,59.75,80.4,543.2,230.1,116.1
2018-06-28,1664.2,260.65,221.05,60.65,272.1,322.4,137.05,209.9,171.85,103.35,62.05,81.05,548.45,230.0,113.8
2018-06-29,1656.5,264.35,230.5,62.4,274.5,326.8,134.25,223.05,173.4,108.1,64.7,83.0,567.75,236.2,118.4
2018-07-02,1600.75,260.55,223.25,60.85,279.8,313.4,129.35,206.95,175.7,105.5,62.05,80.2,560.5,239.85,114.55
2018-07-03,1600.4,260.85,226.1,60.9,277.35,311.7,128.9,208.65,175.55,104.7,63.55,80.5,566.0,231.05,116.35
2018-07-04,1653.65,264.35,224.1,60.85,280.0,312.15,127.25,216.45,174.95,103.95,62.1,80.3,571.1,228.05,120.55
2018-07-05,1674.85,270.3,220.3,60.4,274.1,310.45,129.85,211.85,174.8,103.0,59.75,78.6,553.3,221.3,121.9
2018-07-06,1688.45,271.2,220.45,60.55,272.0,308.55,133.75,215.65,173.65,103.2,60.75,80.45,553.5,219.1,121.25
2018-07-09,1691.2,271.15,222.05,61.25,279.95,312.8,138.1,221.25,182.75,103.6,61.8,81.55,555.6,226.6,122.15
2018-07-10,1646.65,278.45,229.05,62.4,282.35,317.45,143.6,226.85,184.65,104.45,63.15,81.15,568.65,226.05,123.9
2018-07-11,1706.6,264.8,220.8,61.1,273.55,313.35,138.1,217.75,182.65,103.0,61.0,77.4,555.7,218.1,121.7
2018-07-12,1719.95,265.25,220.3,60.7,274.75,317.1,144.9,218.9,181.6,102.3,60.55,74.65,555.2,211.4,121.95
2018-07-13,1703.4,267.8,218.75,59.4,274.95,316.25,140.2,206.1,174.65,99.75,59.0,74.8,558.6,210.45,116.6
2018-07-16,1670.8,261.15,213.05,56.8,268.55,307.65,127.35,196.0,170.4,96.15,57.15,70.95,519.25,206.4,106.55
2018-07-17,1653.45,264.75,219.5,57.0,269.5,307.4,128.85,199.0,170.95,97.1,60.15,72.9,532.35,210.1,106.4
2018-07-18,1648.5,262.15,212.4,54.9,269.35,296.2,126.95,186.2,168.35,95.15,58.6,71.1,504.25,203.7,106.2
2018-07-19,1641.8,261.2,197.6,54.5,268.9,303.6,124.4,182.75,167.3,96.05,59.55,71.45,498.65,208.2,104.65
2018-07-20,1605.5,263.5,195.65,53.75,265.25,304.15,122.0,183.4,165.1,96.25,58.85,71.3,503.2,202.4,108.05
2018-07-23,1625.95,261.7,196.15,55.9,267.7,306.65,124.7,187.45,166.9,95.3,58.55,72.6,516.9,211.6,109.75
2018-07-24,1643.65,266.65,207.6,58.0,272.6,318.25,130.25,195.9,170.35,97.4,61.05,74.5,527.4,216.25,115.05
2018-07-25,1636.0,264.65,209.0,58.1,281.85,317.1,132.6,200.25,171.55,102.0,63.1,74.7,536.0,218.95,111.75
2018-07-26,1612.3,265.1,206.55,58.05,272.1,312.3,133.85,195.25,171.5,102.0,62.15,73.7,534.85,216.5,127.8
2018-07-27,1634.3,262.15,213.4,59.95,273.85,323.25,131.15,203.7,172.0,103.8,62.5,75.4,550.2,219.75,123.1
2018-07-30,1606.4,262.5,211.25,60.4,274.95,327.85,129.65,202.75,176.2,104.85,61.3,77.2,553.0,224.9,121.8
2018-07-31,1620.05,261.1,213.4,60.1,280.05,330.4,126.95,205.45,179.5,105.2,61.55,77.5,563.05,222.2,125.1
2018-08-01,1625.75,270.65,208.0,65.0,277.7,327.55,130.3,201.7,182.3,106.95,62.05,76.85,555.8,218.2,125.85
2018-08-02,1623.15,273.55,207.9,64.65,280.8,332.05,134.1,201.4,180.9,106.8,64.35,79.95,554.3,214.15,125.6
2018-08-03,1699.25,279.25,211.6,63.65,282.3,337.3,139.1,203.05,182.1,106.95,65.7,79.05,554.45,222.4,125.85
2018-08-06,1801.55,283.15,216.1,63.7,285.3,336.95,136.9,207.15,178.05,107.4,66.5,78.1,553.25,224.35,125.8
2018-08-07,1752.0,275.4,219.0,63.2,285.75,340.5,137.2,214.6,175.95,114.35,66.05,79.7,573.15,226.8,124.55
2018-08-08,1731.75,276.0,220.6,62.8,286.05,342.75,136.35,217.1,173.9,113.6,67.4,79.3,577.5,224.8,127.15
2018-08-09,1776.6,280.1,227.45,63.9,286.7,342.95,138.35,216.95,173.15,106.7,72.25,80.6,585.95,230.6,129.45
2018-08-10,1761.8,275.8,222.7,64.65,286.95,339.9,139.5,203.55,173.7,105.8,69.95,78.25,576.7,223.7,127.75
2018-08-13,1748.65,279.05,221.65,62.85,286.65,342.1,135.0,199.85,173.45,103.8,70.9,77.0,568.8,216.3,126.1
2018-08-14,1738.35,282.65,221.45,61.55,285.15,341.1,131.75,199.5,173.5,102.05,70.25,77.4,578.95,215.1,127.0
2018-08-16,1712.75,282.7,216.1,60.6,276.05,328.15,128.25,191.85,172.4,101.6,68.1,74.45,567.55,208.8,126.35
2018-08-17,1709.4,281.4,219.7,60.9,277.35,334.0,128.75,198.8,173.3,104.65,68.8,75.85,580.15,215.2,126.3
2018-08-20,1682.05,284.05,226.65,62.05,280.25,341.55,128.6,205.3,173.75,105.55,71.55,77.75,599.4,221.85,140.8
2018-08-21,1684.75,291.4,226.4,61.55,284.4,341.9,129.95,205.75,174.5,103.7,72.5,77.4,582.15,218.85,148.95
2018-08-23,1663.95,289.05,221.05,60.55,286.2,339.6,127.7,200.25,173.1,103.45,70.35,75.65,571.65,214.8,156.1
2018-08-24,1652.0,291.0,222.1,59.75,292.3,354.8,126.75,202.35,174.25,103.55,72.2,75.4,575.6,224.05,162.25
2018-08-27,1623.8,293.15,230.25,60.95,299.4,355.6,128.4,207.2,190.4,107.65,74.4,77.45,581.2,225.5,163.45
2018-08-28,1686.5,294.7,239.0,60.55,297.9,366.2,127.25,208.85,182.8,108.8,74.95,77.9,590.35,230.3,166.7
2018-08-29,1649.2,286.3,236.85,60.95,298.45,399.0,131.85,217.55,184.15,108.45,76.7,80.1,594.2,228.05,161.15
2018-08-30,1636.55,285.6,240.25,63.45,296.9,397.9,135.5,222.75,182.65,109.6,76.2,81.1,608.35,230.0,160.85
2018-08-31,1634.8,285.95,237.95,63.0,299.55,396.35,135.2,220.75,184.05,111.5,74.85,79.85,600.5,227.7,166.9
2018-09-03,1612.75,287.65,239.4,62.7,298.7,397.0,137.3,220.55,187.65,113.05,75.2,79.95,600.75,228.45,175.35
2018-09-04,1601.4,279.6,235.1,60.8,292.6,390.85,132.45,210.25,182.75,112.9,73.05,76.2,593.05,224.8,174.9
2018-09-05,1578.6,277.6,239.95,59.5,302.4,398.35,129.35,211.8,180.15,111.45,76.35,76.35,594.4,229.45,177.75
2018-09-06,1521.7,283.65,235.4,59.25,300.75,398.8,131.25,211.9,182.3,115.65,71.35,76.6,600.3,229.9,174.75
2018-09-07,1537.55,286.55,242.55,59.8,298.0,406.6,131.95,219.85,190.65,119.0,71.8,78.15,619.15,230.25,179.8
2018-09-10,1526.0,279.6,235.7,58.65,295.45,401.2,144.25,219.0,186.95,120.1,71.45,76.75,613.65,223.5,175.8
2018-09-11,1539.2,283.1,231.6,58.75,288.35,395.2,139.1,216.95,184.25,118.35,69.85,74.5,592.1,219.65,169.25
2018-09-12,1530.85,281.55,237.9,57.85,286.25,399.75,139.9,224.4,190.7,121.95,69.7,74.95,605.55,223.6,175.15
2018-09-14,1519.25,277.35,245.45,58.9,299.3,408.1,150.2,233.45,190.65,124.0,70.15,77.7,615.0,235.6,170.15
2018-09-17,1554.75,274.95,241.35,60.65,298.1,411.85,150.35,237.85,196.85,120.3,69.95,78.1,616.4,234.9,170.75
2018-09-18,1539.85,273.2,234.15,61.05,298.7,407.15,138.75,229.35,190.6,119.05,68.05,76.0,612.75,230.15,169.1
2018-09-19,1547.0,280.65,235.65,60.8,296.7,417.05,139.35,232.4,188.2,118.15,68.7,77.25,621.2,230.1,167.15
2018-09-21,1514.8,275.25,240.4,58.75,297.05,408.0,138.15,235.0,177.45,115.75,65.75,76.0,625.15,230.45,163.4
2018-09-24,1490.65,281.15,239.9,56.55,297.35,400.45,129.7,223.65,174.75,112.5,65.1,73.3,607.7,229.9,154.2
