,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
,4/29/19 12:54:12,DBL DIAG,BUY,+1,TO OPEN,GOOGL,7 JUN 19,1310,CALL,32.10,29.05,LMT
,,,BUY,+1,TO OPEN,GOOGL,7 JUN 19,1282.5,PUT,31.20,DEBIT,
,,,SELL,-1,TO OPEN,GOOGL,3 MAY 19,1312.5,CALL,15.80,,
,,,SELL,-1,TO OPEN,GOOGL,3 MAY 19,1282.5,PUT,18.45,,
,4/29/19 12:16:38,DBL DIAG,BUY,+1,TO OPEN,NDX,21 JUN 19,7900,CALL,150.86,119.94,LMT
,,,BUY,+1,TO OPEN,NDX,21 JUN 19,7725,PUT,127.43,DEBIT,
,,,SELL,-1,TO OPEN,NDX,10 MAY 19,7850,CALL,76.45,,
,,,SELL,-1,TO OPEN,NDX,10 MAY 19,7850,PUT,81.90,,
,4/29/19 11:02:23,FUTURE,BUY,+1,TO CLOSE,/ESM19,JUN 19,,FUTURE,2949.50,2949.50,LMT
,4/29/19 10:39:36,DBL DIAG,SELL,-1,TO CLOSE,NDX,7 JUN 19,7900,CALL,119.43,139.50,LMT
,,,SELL,-1,TO CLOSE,NDX,7 JUN 19,7700,PUT,96.62,CREDIT,
,,,BUY,+1,TO CLOSE,NDX,3 MAY 19,7860,CALL,45.95,,
,,,BUY,+1,TO CLOSE,NDX,3 MAY 19,7770,PUT,30.60,,
,4/29/19 08:42:49,SINGLE,BUY,+1,TO CLOSE,/ESM19 1/50 MAY 19 (Monday) (Wk2),/E1AK19,2900,PUT,4.95,4.95,LMT
,4/29/19 08:42:28,COMBO,SELL,-1,TO CLOSE,/ESM19 1/50 MAY 19 (Monday) (Wk2),/E1AK19,2915,CALL,37.00,32.00,LMT
,,,BUY,+1,TO CLOSE,/ESM19 1/50 MAY 19 (Monday) (Wk2),/E1AK19,2900,PUT,5.00,CREDIT,
,4/28/19 23:40:15,CUSTOM,BUY,+1,TO OPEN,/ESM19 1/50 MAY 19 (Monday) (Wk2),/E1AK19,2915,CALL,36.00,23.50,LMT
,,,SELL,-2,TO OPEN,/ESM19 1/50 MAY 19 (Monday) (Wk2),/E1AK19,2900,PUT,6.25,DEBIT,
,4/26/19 12:17:23,FUTURE,SELL,-1,TO OPEN,/ESM19,JUN 19,,FUTURE,2935.75,2935.75,LMT
,4/26/19 11:46:19,VERTICAL,SELL,-1,TO OPEN,/NQM19 1/20 MAY 19 (EOM),/QNEK19,7490,PUT,47.50,21.00,LMT
,,,BUY,+1,TO CLOSE,/NQM19 1/20 MAY 19 (EOM),/QNEK19,7290,PUT,26.50,CREDIT,
,4/26/19 09:45:38,STRADDLE,SELL,-2,TO OPEN,/CLN19 1/1000 JUL 19,/LON19,63,CALL,2.30,4.91,LMT
,,,SELL,-2,TO OPEN,/CLN19 1/1000 JUL 19,/LON19,63,PUT,2.61,CREDIT,
,4/26/19 08:55:11,VERTICAL,BUY,+1,TO CLOSE,NDX,10 MAY 19,7890,CALL,43.15,3.50,LMT
,,,SELL,-1,TO CLOSE,NDX,10 MAY 19,7900,CALL,39.65,DEBIT,
,4/26/19 06:57:36,DBL DIAG,BUY,+1,TO OPEN,NDX,7 JUN 19,7900,CALL,89.89,119.95,LMT
,,,BUY,+1,TO OPEN,NDX,7 JUN 19,7700,PUT,135.67,DEBIT,
,,,SELL,-1,TO OPEN,NDX,3 MAY 19,7860,CALL,27.55,,
