Date,AXISBANK,BANKBARODA,HDFCBANK,ICICIBANK,IDFCBANK,INDUSINDBK,KOTAKBANK,PNB,SBIN
2018-11-13,618.3,108.7,1927.75,360.9,,1485.55,1165.9,70.0,278.05
2018-11-14,612.7,112.75,1957.75,366.6,,1513.55,1129.9,70.75,283.6
2018-11-15,626.1,112.8,1975.15,370.0,,1512.15,1162.25,71.15,285.4
2018-11-16,619.8,115.2,2004.3,367.55,,1501.1,1168.6,73.2,290.9
2018-11-19,616.3,115.35,2013.9,362.4,,1537.95,1175.25,73.3,288.15
2018-11-20,612.65,110.2,2012.45,357.9,,1557.85,1169.95,71.3,283.45
2018-11-21,626.85,112.2,2018.75,356.75,,1546.7,1176.7,72.7,287.05
2018-11-22,614.55,109.9,2005.5,352.05,,1528.85,1170.6,71.7,282.7
2018-11-26,631.05,108.9,2049.8,356.35,,1562.75,1170.55,71.25,286.4
2018-11-27,625.25,108.95,2064.0,354.65,,1588.55,1173.55,72.45,289.4
2018-11-28,627.95,104.75,2089.25,359.0,,1613.35,1160.25,69.6,284.55
2018-11-29,631.4,105.0,2131.05,362.2,,1660.55,1212.95,69.65,286.4
2018-11-30,625.75,105.05,2128.45,355.15,,1631.8,1233.95,69.9,284.65
2018-12-03,624.8,106.95,2113.3,355.5,,1656.3,1226.1,71.45,286.8
2018-12-04,623.25,107.85,2085.55,357.95,,1635.75,1225.3,69.55,282.55
2018-12-05,614.95,107.45,2099.2,351.4,,1603.6,1211.5,68.95,280.15
2018-12-06,600.05,105.25,2097.05,347.65,,1569.45,1180.25,66.1,275.65
2018-12-07,603.95,106.4,2107.6,352.2,,1566.8,1279.65,66.0,275.4
2018-12-10,590.3,105.95,2088.75,346.35,,1554.45,1198.35,64.85,274.2
2018-12-11,604.25,109.05,2059.55,342.8,,1552.8,1218.7,68.7,281.25
2018-12-12,619.95,113.4,2085.3,349.95,,1582.2,1237.15,70.8,285.25
2018-12-13,619.1,111.85,2101.3,349.55,,1610.1,1264.4,71.35,289.0
2018-12-14,620.25,111.4,2095.7,351.9,,1603.85,1255.95,72.65,289.2
2018-12-17,617.15,111.8,2130.2,358.45,,1633.35,1222.45,72.85,289.5
2018-12-18,619.4,112.45,2135.45,362.25,,1639.55,1237.1,74.25,292.75
2018-12-19,641.65,115.6,2123.45,366.5,,1612.65,1225.65,76.95,300.7
2018-12-20,632.95,114.9,2137.45,362.15,,1612.85,1236.3,76.1,294.05
2018-12-21,620.85,115.1,2111.15,354.2,,1575.65,1227.2,76.35,291.9
2018-12-24,615.0,115.4,2080.65,352.75,,1562.35,1238.5,76.7,293.05
2018-12-26,619.5,117.7,2122.35,355.85,,1556.45,1248.15,77.75,294.15
2018-12-27,617.55,116.4,2105.05,355.65,,1564.0,1240.25,77.95,292.15
2018-12-28,625.05,118.35,2122.9,360.75,,1583.25,1241.35,78.45,294.8
2018-12-31,619.9,118.8,2121.7,360.15,,1599.3,1256.5,78.1,295.9
2019-01-01,627.3,123.3,2148.1,363.75,,1595.6,1250.45,79.8,299.6
2019-01-02,620.05,119.35,2128.5,364.6,,1576.6,1240.6,77.85,293.9
2019-01-03,607.95,119.3,2111.8,363.25,,1560.1,1235.25,77.85,291.1
2019-01-04,619.6,121.7,2117.45,365.2,,1548.2,1247.95,81.3,297.65
2019-01-07,637.45,122.7,2120.65,367.7,,1559.15,1246.6,80.55,296.3
2019-01-08,650.9,123.85,2103.0,380.15,,1577.75,1228.9,81.7,305.3
2019-01-09,670.1,122.95,2116.8,382.25,,1601.75,1238.25,80.7,305.3
2019-01-10,663.25,123.45,2108.5,379.5,,1565.9,1219.55,81.25,305.55
2019-01-11,666.5,121.15,2111.9,378.55,,1515.15,1223.2,80.65,302.75
2019-01-14,659.2,120.95,2101.65,373.35,,1484.05,1211.75,82.5,300.4
2019-01-15,660.6,121.1,2121.9,372.75,,1495.2,1213.4,81.95,301.65
2019-01-16,664.0,121.0,2120.2,375.3,,1526.7,1202.75,84.25,303.15
2019-01-17,676.65,119.2,2132.3,374.6,,1523.0,1219.95,84.55,297.4
2019-01-18,664.6,118.0,2130.25,372.0,,1516.9,1240.2,82.85,294.95
2019-01-21,660.3,116.45,2148.15,371.7,,1507.6,1267.6,80.25,292.45
2019-01-22,661.6,113.8,2135.85,369.05,,1501.6,1291.75,78.6,290.25
2019-01-23,661.6,111.3,2105.4,367.4,,1495.0,1276.5,77.75,286.65
2019-01-24,663.65,113.0,2102.25,364.8,,1490.3,1267.75,78.1,288.05
2019-01-25,669.75,110.2,2096.0,357.2,,1484.9,1266.15,76.6,285.4
2019-01-28,656.3,109.15,2084.15,343.55,,1443.7,1260.45,76.1,281.6
2019-01-29,660.75,113.75,2057.6,346.85,,1461.85,1251.4,77.3,280.6
2019-01-30,690.95,113.7,2034.7,365.9,,1476.1,1222.2,77.25,287.45
2019-01-31,722.7,112.45,2079.95,364.45,,1505.55,1255.75,77.5,293.65
2019-02-01,717.25,111.1,2090.45,354.65,,1515.15,1255.7,73.9,284.4
2019-02-04,720.5,110.3,2104.9,354.55,,1504.65,1272.2,73.15,283.95
2019-02-05,729.5,107.95,2114.05,352.65,,1541.75,1279.15,73.4,284.65
2019-02-06,725.75,109.2,2122.65,359.3,,1526.05,1279.5,75.2,289.05
2019-02-07,730.15,108.9,2117.25,358.65,,1514.95,1284.55,75.65,287.4
2019-02-08,719.4,104.9,2122.65,355.1,,1499.05,1299.4,71.2,286.0
