,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error,Alpha:YPrice
34,HEROMOTOCO,ASHOKLEY,0.0000,11.94,0.74,1846.54,-1.93,64.31696273075583
35,MRF,ASHOKLEY,0.0000,116.07,0.74,57456.49,-1.84,90.58608647668598
36,M&M,ASHOKLEY,0.0023,-1.33,0.74,1030.06,-1.90,141.07512155036636
37,MARUTI,ASHOKLEY,0.2296,3.51,0.74,8380.14,-3.52,121.88408115773399
38,MOTHERSUMI,ASHOKLEY,0.0000,1.10,0.74,164.64,-2.27,72.03675344563553
39,TVSMOTOR,ASHOKLEY,0.0000,1.87,0.74,346.84,-0.99,67.76865963266901
40,ASHOKLEY,TATAMTRDVR,0.0000,0.25,0.43,91.84,-0.52,82.14669051878354
41,ASHOKLEY,TATAMOTORS,0.0000,0.14,0.46,93.16,-0.57,83.3273703041145
42,BAJAJ-AUTO,BHARATFORG,0.0000,1.43,0.89,1895.09,-1.07,75.02929764826985
43,BOSCHLTD,BAJAJ-AUTO,0.7604,0.13,1.24,18518.54,-0.57,101.2846997180541
44,BAJAJ-AUTO,EICHERMOT,0.3927,0.01,1.13,2698.94,-1.76,106.85485786681447
45,BAJAJ-AUTO,EXIDEIND,0.0000,-3.92,0.76,3845.89,-2.32,152.2642331142608
46,BAJAJ-AUTO,HEROMOTOCO,0.0000,0.41,1.13,1458.31,-0.68,57.73655871407079
47,MRF,BAJAJ-AUTO,0.2842,-1.91,1.24,78684.14,-2.53,124.05366757321352
48,BAJAJ-AUTO,M&M,0.0000,-0.82,0.79,3564.23,-2.73,141.11291472008867
49,BAJAJ-AUTO,MARUTI,0.0000,0.12,1.23,1824.22,-0.67,72.2234539551825
50,BAJAJ-AUTO,MOTHERSUMI,0.0000,3.29,0.79,1836.37,-0.43,72.70448966664027
51,BAJAJ-AUTO,TVSMOTOR,0.0000,2.42,0.88,1414.78,-1.04,56.01314435030485
52,BAJAJ-AUTO,TATAMTRDVR,0.0000,3.91,0.43,2196.09,-0.53,86.94631403911632
53,BAJAJ-AUTO,TATAMOTORS,0.0000,2.38,0.46,2143.73,-0.42,84.87330746694116
54,BOSCHLTD,BHARATFORG,0.0016,4.10,0.89,16116.15,-0.11,88.1451460731309
55,EICHERMOT,BHARATFORG,0.0000,13.66,0.89,19076.08,-2.51,85.32314731778446
56,BHARATFORG,EXIDEIND,0.0000,-1.51,0.76,1055.76,-2.76,190.14137775776678
57,HEROMOTOCO,BHARATFORG,0.0000,2.58,0.89,1713.62,-1.56,59.687216997561826
58,MRF,BHARATFORG,0.0283,11.75,0.89,65224.73,-2.04,102.83351858421032
59,BHARATFORG,M&M,0.0000,-0.44,0.79,1050.77,-3.88,189.24268347591175
60,MARUTI,BHARATFORG,0.0015,2.21,0.89,7355.49,-3.24,106.98116500618137
61,BHARATFORG,MOTHERSUMI,0.0000,1.52,0.79,201.31,0.16,36.25574065736155
62,BHARATFORG,TVSMOTOR,0.0000,0.95,0.88,110.63,-1.30,19.924358397118414
63,BHARATFORG,TATAMTRDVR,0.0000,1.57,0.43,409.74,-0.43,73.79378658262044
64,BHARATFORG,TATAMOTORS,0.0000,0.98,0.46,379.08,-0.14,68.27194957226475
65,BOSCHLTD,EICHERMOT,0.9291,0.00,1.13,18797.62,-0.59,102.81109078329546
66,BOSCHLTD,EXIDEIND,0.0623,5.66,0.76,17487.68,-0.63,95.64654759853748
67,BOSCHLTD,HEROMOTOCO,0.0036,-0.94,1.13,22168.24,-1.20,121.24625006494873
68,BOSCHLTD,MRF,0.0128,-0.05,1.34,22222.54,-1.07,121.5432367169575
69,BOSCHLTD,M&M,0.1451,1.35,0.79,17751.35,-0.45,97.08865571152366
70,BOSCHLTD,MARUTI,0.4797,-0.10,1.23,19777.86,-0.81,108.17238352298364
71,BOSCHLTD,MOTHERSUMI,0.0127,6.23,0.79,16945.42,-0.09,92.68072841035568
72,BOSCHLTD,TVSMOTOR,0.0068,3.94,0.88,16534.43,-0.27,90.43287308606322
73,BOSCHLTD,TATAMTRDVR,0.6908,-0.99,0.43,19070.39,-0.68,104.30297013998845
74,BOSCHLTD,TATAMOTORS,0.3091,1.52,0.46,18434.85,-0.43,100.82696835697466
75,EICHERMOT,EXIDEIND,0.3242,5.62,0.76,26952.61,-3.19,120.55314895034988
76,EICHERMOT,HEROMOTOCO,0.0000,5.65,1.13,8754.06,-1.93,39.155002023933854
77,MRF,EICHERMOT,0.0000,1.61,1.13,27673.17,-0.05,43.62960860825352
78,EICHERMOT,M&M,0.0035,5.03,0.79,24083.93,-2.93,107.72216867308212
79,MARUTI,EICHERMOT,0.0000,0.15,1.13,4616.10,-2.34,67.13838993527744
80,EICHERMOT,MOTHERSUMI,0.0000,35.84,0.79,17117.58,-1.91,76.56320376429335
81,EICHERMOT,TVSMOTOR,0.0001,10.75,0.88,21898.04,-2.80,97.94515921985736
82,EICHERMOT,TATAMTRDVR,0.0000,25.96,0.43,23891.22,-2.44,106.86021885322342
83,EICHERMOT,TATAMOTORS,0.0000,13.44,0.46,24259.97,-2.48,108.50955721694558
84,HEROMOTOCO,EXIDEIND,0.0000,-4.45,0.76,4577.99,-2.89,159.45628700801115
85,MRF,EXIDEIND,0.0004,43.44,0.76,62364.62,-2.47,98.32425998186906
86,M&M,EXIDEIND,0.0000,3.02,0.76,97.20,-3.89,13.312333082243375
87,MARUTI,EXIDEIND,0.4098,1.35,0.76,8519.38,-3.67,123.90924296414805
88,MOTHERSUMI,EXIDEIND,0.0000,-0.52,0.76,442.42,-3.09,193.57689783417194
89,TVSMOTOR,EXIDEIND,0.0000,-1.54,0.76,984.52,-2.48,192.3642047674873
90,EXIDEIND,TATAMTRDVR,0.0000,-0.63,0.43,357.60,-2.64,142.300039793076
91,EXIDEIND,TATAMOTORS,0.0000,-0.38,0.46,366.56,-2.89,145.86549940310385
92,MRF,HEROMOTOCO,0.0000,9.28,1.13,41016.94,-1.20,64.66743920223878
93,HEROMOTOCO,M&M,0.0000,-0.91,0.79,4236.28,-3.21,147.554162312783
94,MARUTI,HEROMOTOCO,0.0000,1.20,1.13,4704.29,-2.72,68.42106028652462
95,HEROMOTOCO,MOTHERSUMI,0.0000,5.79,0.79,1652.30,-0.68,57.5513758272379
96,HEROMOTOCO,TVSMOTOR,0.0000,3.10,0.88,1602.04,-1.92,55.8007662835249
97,HEROMOTOCO,TATAMTRDVR,0.0000,6.32,0.43,2380.17,-1.18,82.90386624869383
98,HEROMOTOCO,TATAMOTORS,0.0000,3.50,0.46,2400.88,-1.14,83.6252176941832
99,MRF,M&M,0.0000,17.39,0.79,58428.51,-1.98,92.11857632730283
100,MRF,MARUTI,0.0000,5.31,1.23,26218.52,0.25,41.3362027511726
101,MRF,MOTHERSUMI,0.0000,56.59,0.79,55457.73,-1.32,87.43483504788932
102,MRF,TVSMOTOR,0.9687,0.24,0.88,73062.67,-2.36,115.19083993535926
103,MRF,TATAMTRDVR,0.0193,23.82,0.43,69108.36,-1.99,108.95646210240038
104,MRF,TATAMOTORS,0.1240,9.44,0.46,70327.98,-2.10,110.87931890741397
105,MARUTI,M&M,0.0071,1.33,0.79,7724.64,-3.43,112.35022907424914
106,MOTHERSUMI,M&M,0.0000,-0.13,0.79,420.91,-3.54,184.16539050535988
107,TVSMOTOR,M&M,0.0000,-0.42,0.79,954.06,-3.55,186.4126611957796
108,M&M,TATAMTRDVR,0.0000,-1.74,0.43,1149.15,-3.88,157.38546873930017
109,M&M,TATAMOTORS,0.0000,-1.09,0.46,1183.47,-4.21,162.08587276587002
110,MARUTI,MOTHERSUMI,0.0000,10.62,0.79,5527.16,-2.47,80.38920805759581
111,MARUTI,TVSMOTOR,0.0012,2.53,0.88,7338.07,-3.34,106.72780161442805
112,MARUTI,TATAMTRDVR,0.0000,6.81,0.43,7684.51,-3.00,111.76656243182315
113,MARUTI,TATAMOTORS,0.0000,4.03,0.46,7626.76,-2.97,110.92662351828957
114,TVSMOTOR,MOTHERSUMI,0.0000,1.27,0.79,201.03,0.56,39.27901524032825
115,MOTHERSUMI,TATAMTRDVR,0.0000,0.84,0.43,169.16,-1.63,74.01443885364253
116,MOTHERSUMI,TATAMOTORS,0.0000,0.51,0.46,158.19,-1.48,69.21461387005031
117,TVSMOTOR,TATAMTRDVR,0.0000,1.49,0.43,345.22,0.60,67.45212973817897
118,TVSMOTOR,TATAMOTORS,0.0000,0.92,0.46,320.70,1.02,62.66119577960141
119,TATAMOTORS,TATAMTRDVR,0.0000,1.64,0.43,22.44,-0.77,12.265646351462149
