Date,HCLTECH,INFIBEAM,INFY,KPIT,MINDTREE,OFSS,TCS,TATAELXSI,TECHM,WIPRO
2018-02-28,940.3,158.4,1172.6,216.1,815.1,3941.6,3035.05,1053.25,612.65,292.8
2018-03-01,942.8,157.55,1160.75,214.75,814.05,3855.55,3037.7,1044.55,611.9,292.5
2018-03-05,932.1,155.35,1155.9,219.45,859.55,3759.2,3105.85,1041.7,630.85,290.95
2018-03-06,932.8,154.45,1151.35,215.65,826.1,3763.7,3042.8,1031.55,617.25,286.95
2018-03-07,949.55,152.85,1144.1,210.65,831.3,3829.6,3027.45,995.5,609.05,285.35
2018-03-08,950.65,152.6,1156.65,210.3,817.2,3871.45,3003.95,1001.95,607.2,285.2
2018-03-09,943.0,152.7,1163.4,210.15,813.85,3892.1,3034.1,1002.35,619.2,285.05
2018-03-12,967.65,152.95,1185.75,217.5,815.15,3934.35,3052.15,1013.55,619.55,290.7
2018-03-13,957.0,152.15,1183.8,219.9,800.85,3932.1,2886.8,1010.7,619.15,296.6
2018-03-14,965.05,151.55,1180.8,229.2,799.55,3940.65,2886.9,1010.3,639.1,293.85
2018-03-15,959.15,151.7,1182.5,231.3,843.65,3922.7,2869.7,1037.65,631.85,293.4
2018-03-16,967.6,150.1,1171.9,229.35,812.35,3888.35,2825.7,1012.75,634.7,295.75
2018-03-19,926.5,149.1,1146.75,226.2,779.4,3880.05,2831.0,979.2,609.9,288.65
2018-03-20,937.2,149.65,1164.55,230.8,772.95,3797.85,2864.85,985.25,633.4,293.6
2018-03-21,937.35,150.25,1167.5,228.85,790.9,3828.75,2856.75,993.95,625.85,295.25
2018-03-22,930.55,150.25,1161.3,227.55,772.65,3816.05,2831.35,992.25,619.05,288.45
2018-03-23,957.4,149.55,1167.6,219.7,782.75,3797.2,2818.15,965.9,623.35,284.65
2018-03-26,967.05,149.3,1155.25,219.75,771.9,3748.55,2817.0,977.35,620.4,274.0
2018-03-27,972.05,152.2,1154.0,223.0,772.8,3768.1,2847.7,1007.25,621.65,274.05
2018-03-28,968.6,148.5,1131.8,216.55,771.95,3745.35,2849.15,985.35,638.7,281.15
2018-04-02,979.5,152.05,1137.15,223.45,810.2,3938.45,2909.65,1002.05,640.3,289.65
2018-04-03,969.25,158.45,1140.45,223.05,800.65,4030.9,2911.25,1004.7,615.95,283.9
2018-04-04,959.25,158.7,1124.2,219.05,779.55,3923.2,2910.9,1003.3,606.3,281.6
2018-04-05,962.05,163.4,1147.55,221.1,805.95,3918.8,2957.95,1020.3,617.35,286.25
2018-04-06,952.65,166.95,1127.0,224.8,831.7,3878.1,2950.3,1024.6,618.2,283.95
2018-04-09,953.25,166.75,1111.25,222.75,822.25,3929.4,2923.9,1042.0,614.85,285.05
2018-04-10,948.45,167.65,1113.4,220.9,827.75,3928.65,2937.6,1033.35,626.45,286.0
2018-04-11,967.3,171.25,1124.25,222.9,829.95,3946.4,3014.15,1042.6,633.35,285.7
2018-04-12,1010.05,170.6,1162.6,226.3,836.4,4008.85,3139.25,1069.9,652.8,286.85
2018-04-13,991.25,172.3,1171.45,229.55,852.15,4030.8,3153.3,1073.6,671.55,294.15
2018-04-16,999.9,170.75,1133.2,229.05,868.85,4136.85,3187.65,1071.7,668.7,289.9
2018-04-17,1011.0,170.5,1125.2,228.45,882.95,4114.05,3166.6,1071.3,668.3,284.75
2018-04-18,996.85,169.65,1125.95,232.05,865.1,4125.2,3159.1,1064.35,656.8,292.65
2018-04-19,1018.55,170.25,1132.85,234.75,897.6,4142.9,3191.15,1108.4,665.2,292.45
2018-04-20,1062.35,171.15,1178.45,243.1,979.85,4306.05,3402.45,1142.75,700.5,298.05
2018-04-23,1088.0,169.6,1187.7,245.8,1000.6,4244.9,3408.65,1203.3,702.0,297.35
2018-04-24,1061.95,170.35,1154.5,241.7,999.95,4201.5,3385.65,1204.05,682.7,286.95
2018-04-25,1068.8,169.4,1160.35,243.95,1033.7,4238.5,3470.25,1228.55,686.4,287.15
2018-04-26,1077.3,167.25,1176.45,247.6,1070.6,4188.8,3539.25,1217.35,691.1,281.35
2018-04-27,1041.65,167.5,1185.2,247.85,1050.7,4318.4,3451.95,1198.65,670.5,276.15
2018-04-30,1052.75,167.4,1199.5,258.6,1084.6,4310.1,3532.1,1237.8,670.6,278.75
2018-05-02,1000.5,164.85,1197.05,253.15,1051.65,4207.65,3499.75,1215.2,662.55,275.55
2018-05-03,925.7,162.85,1182.55,250.95,1031.85,4270.95,3481.85,1224.55,652.95,271.45
2018-05-04,929.85,167.8,1173.1,251.9,1010.05,4175.55,3480.75,1160.55,662.65,269.9
2018-05-07,928.2,168.1,1183.0,252.3,1014.75,4238.35,3420.95,1140.8,657.4,274.75
2018-05-08,920.1,169.05,1165.55,260.5,1031.3,4225.2,3441.2,1179.1,653.35,272.75
2018-05-09,927.5,168.45,1170.7,260.85,1018.05,4269.5,3489.3,1192.45,654.1,270.25
2018-05-10,930.2,167.65,1168.0,259.1,1016.8,4228.5,3451.25,1175.6,663.6,270.45
2018-05-11,932.85,167.45,1180.75,259.8,1007.55,4117.65,3456.95,1183.4,666.45,272.65
2018-05-14,925.3,166.95,1189.3,258.1,994.1,4105.75,3433.55,1153.55,667.25,272.35
2018-05-15,925.0,166.45,1194.55,257.8,1001.15,3974.55,3482.4,1144.3,670.65,271.0
2018-05-16,920.25,165.9,1189.95,260.85,1005.25,3998.85,3493.9,1167.55,672.7,274.7
2018-05-17,909.75,165.15,1182.9,261.7,1001.7,3986.9,3491.8,1184.95,675.8,278.35
2018-05-18,890.7,165.35,1183.2,261.15,1006.35,3862.15,3502.05,1152.15,692.95,268.9
2018-05-21,895.95,164.2,1179.5,251.75,1029.6,3819.75,3556.75,1163.5,685.35,264.85
2018-05-22,904.9,164.55,1193.85,247.5,1018.9,3790.05,3508.9,1169.45,686.4,264.95
2018-05-23,894.35,164.6,1184.9,258.25,1033.9,3830.85,3495.1,1200.9,697.45,263.45
2018-05-24,911.7,164.1,1221.0,270.85,1038.35,3895.1,3603.7,1194.95,711.35,264.35
2018-05-25,916.0,164.65,1228.3,271.0,1023.6,3879.2,3585.8,1232.7,702.75,264.6
2018-05-28,894.5,166.3,1214.4,273.1,1011.45,3853.9,3502.05,1208.3,675.25,263.3
2018-05-29,905.1,168.45,1216.7,272.6,1018.45,3809.15,3523.5,1227.4,677.85,263.0
2018-05-30,907.35,170.5,1211.7,274.3,1019.05,3763.8,3514.1,1238.25,687.25,260.85
2018-05-31,910.35,170.1,1231.8,277.1,1007.95,3942.9,1741.05,1237.1,712.35,261.9
2018-06-01,904.85,168.65,1220.8,285.75,1006.7,3823.25,1732.45,1213.05,701.15,260.6
2018-06-04,900.7,162.6,1239.4,278.7,999.85,3769.35,1744.25,1203.85,698.3,260.15
2018-06-05,885.05,154.25,1220.85,260.35,990.85,3722.5,1721.6,1161.1,701.25,255.25
2018-06-06,908.95,149.5,1237.45,265.75,1013.8,3767.25,1725.75,1192.5,691.75,259.25
2018-06-07,921.35,152.8,1252.45,267.75,1013.4,3832.65,1735.55,1210.8,701.85,264.6
2018-06-08,928.7,151.2,1260.05,273.0,1028.3,3849.45,1747.1,1232.4,706.95,264.0
2018-06-11,911.6,151.35,1262.4,275.1,1032.9,3950.65,1749.7,1226.05,714.2,264.4
2018-06-12,914.8,152.0,1258.5,284.6,1044.0,3988.8,1781.0,1277.9,709.1,266.45
2018-06-13,923.7,153.9,1274.8,276.95,1028.75,4000.4,1824.1,1280.2,713.8,268.8
2018-06-14,936.95,152.0,1239.7,280.4,992.75,4008.7,1787.55,1287.3,698.8,266.4
2018-06-15,948.3,153.05,1281.25,282.4,1002.5,4107.85,1840.05,1304.55,707.25,266.9
2018-06-18,933.2,153.15,1267.4,278.65,991.9,4152.25,1829.0,1295.8,710.55,265.75
2018-06-19,920.45,154.05,1241.6,276.0,984.25,4115.25,1824.5,1309.65,695.75,261.0
2018-06-20,910.95,156.25,1243.15,275.25,996.2,4054.1,1822.45,1320.75,690.55,259.7
2018-06-21,902.55,154.95,1246.55,276.65,989.85,4047.85,1819.35,1323.05,685.3,258.65
2018-06-22,904.8,158.1,1247.85,278.7,983.85,4080.75,1809.8,1318.55,691.15,258.25
2018-06-25,908.9,157.8,1272.45,274.5,953.2,4031.7,1819.25,1342.95,696.15,257.5
2018-06-26,910.4,159.1,1277.85,271.6,967.05,4059.4,1852.0,1349.05,687.85,257.6
2018-06-27,921.05,154.95,1270.0,274.55,973.15,4053.85,1858.0,1331.5,714.25,256.05
2018-06-28,909.6,154.6,1289.6,264.95,953.0,4158.2,1842.7,1284.9,664.25,257.1
2018-06-29,926.25,153.45,1307.2,271.75,986.9,4074.7,1847.75,1334.7,655.45,261.5
2018-07-02,926.1,151.7,1334.7,273.3,991.15,4050.25,1851.35,1343.75,657.2,260.6
2018-07-03,937.5,152.05,1353.75,279.0,1004.55,4003.9,1874.05,1366.5,660.85,261.9
2018-07-04,925.65,150.95,1345.2,275.5,1008.25,3921.05,1866.15,1359.5,654.5,261.95
2018-07-05,931.05,150.4,1284.0,269.6,998.7,3870.05,1880.3,1349.05,646.65,264.1
2018-07-06,943.9,150.4,1284.25,268.2,993.45,3779.25,1912.95,1364.95,634.9,262.8
2018-07-09,961.55,150.55,1298.85,280.0,1011.95,3890.2,1883.0,1381.55,643.85,264.95
2018-07-10,979.55,154.7,1301.4,286.8,1036.3,3963.35,1875.1,1392.45,650.75,270.6
2018-07-11,993.45,153.45,1320.45,291.3,1048.35,3904.3,1979.9,1445.0,654.4,272.1
2018-07-12,1006.05,156.3,1294.35,299.65,1076.85,3884.05,1971.35,1429.25,647.7,279.45
2018-07-13,983.35,157.25,1317.4,303.75,1066.8,3938.3,1981.1,1429.8,641.05,280.85
2018-07-16,972.1,155.55,1332.85,295.15,1080.65,3917.35,1989.2,1420.55,657.3,283.1
2018-07-17,980.3,157.85,1327.9,291.2,1081.0,3881.6,2002.15,1410.35,646.8,283.9
2018-07-18,989.9,158.3,1322.55,301.2,1061.8,3941.8,2000.25,1417.0,646.3,284.8
2018-07-19,982.1,157.25,1316.7,293.05,971.15,3865.35,1981.4,1374.6,642.2,285.8
2018-07-20,999.2,167.85,1348.1,292.7,976.85,3883.25,1996.6,1394.5,659.45,283.0
2018-07-23,1004.85,173.15,1355.95,287.65,959.7,3888.05,2005.65,1380.4,648.55,276.45
2018-07-24,991.6,173.7,1377.15,291.6,970.4,3863.0,1999.0,1378.6,641.5,272.95
2018-07-25,964.3,177.4,1383.75,291.5,957.4,3881.3,1981.5,1465.45,631.35,274.7
2018-07-26,952.6,182.35,1373.25,287.3,947.25,3882.35,1964.7,1449.85,632.05,271.4
2018-07-27,963.45,183.3,1373.45,298.1,938.05,3914.8,1943.75,1451.35,645.1,274.5
2018-07-30,947.15,182.05,1351.0,295.45,915.5,3912.5,1944.6,1425.25,655.45,273.15
2018-07-31,965.1,179.8,1365.1,297.2,932.3,3878.3,1940.2,1428.2,680.75,276.4
2018-08-01,978.65,178.3,1354.05,307.95,954.9,3856.9,1976.5,1434.8,681.1,277.35
2018-08-02,960.5,181.3,1353.65,303.35,952.55,3870.45,1948.4,1407.4,669.0,279.1
2018-08-03,963.65,187.75,1364.1,307.15,958.9,3971.2,1979.45,1416.95,662.75,278.0
2018-08-06,956.5,185.85,1360.65,302.85,954.35,3909.35,1975.55,1401.4,667.1,277.05
2018-08-07,968.8,184.5,1367.95,303.95,948.05,3915.3,1967.35,1385.45,658.75,277.45
2018-08-08,964.55,189.0,1362.75,303.05,961.25,3915.65,1974.0,1407.85,653.9,278.5
2018-08-09,956.65,191.45,1379.95,294.35,945.6,3928.15,1974.35,1388.5,646.2,278.7
2018-08-10,966.0,195.1,1385.45,289.8,952.0,3895.3,1993.1,1395.55,645.95,278.85
2018-08-13,983.0,196.1,1408.75,293.6,982.9,3939.35,2000.15,1414.75,659.95,281.85
2018-08-14,999.7,198.9,1408.3,295.7,1009.75,4017.9,2003.55,1434.1,672.8,285.05
2018-08-16,997.25,197.65,1429.55,296.95,1039.85,4021.75,2008.5,1434.15,668.65,279.45
2018-08-17,1003.05,201.15,1430.35,296.7,1028.9,4036.45,2012.75,1432.1,687.7,280.05
2018-08-20,988.25,210.95,1384.25,289.5,1036.5,4054.75,2009.95,1419.75,687.95,285.05
2018-08-21,1004.6,209.35,1383.95,293.75,1037.8,4042.5,2017.65,1441.65,709.4,288.95
2018-08-23,1025.65,213.15,1397.4,296.05,1038.95,4086.15,2035.1,1446.4,726.65,289.75
2018-08-24,1023.35,222.4,1378.3,290.45,1013.3,4089.4,2043.0,1418.85,718.55,292.15
2018-08-27,1039.0,226.9,1415.4,291.25,1050.05,4088.45,2050.9,1424.75,737.95,295.85
2018-08-28,1040.75,234.75,1424.7,293.8,1038.65,4140.35,2069.2,1417.6,736.1,295.6
2018-08-29,1032.85,233.15,1410.1,295.05,1035.15,4158.55,2072.0,1396.15,734.45,296.75
2018-08-30,1016.55,228.65,1416.2,296.4,1052.05,4171.9,2082.4,1407.3,731.9,298.95
2018-08-31,1046.45,228.2,1441.1,303.0,1114.7,4160.2,2078.4,1435.85,765.8,301.25
2018-09-03,1049.15,231.9,1434.25,300.0,1100.55,4113.65,2052.9,1445.2,745.65,308.35
2018-09-04,1076.35,229.45,737.15,300.15,1117.95,3951.4,2098.9,1414.05,763.9,313.35
2018-09-05,1078.95,229.15,729.9,309.15,1150.9,4044.85,2079.25,1380.7,766.15,318.85
2018-09-06,1088.8,228.85,727.15,310.0,1158.0,4073.15,2075.3,1352.5,775.05,321.2
2018-09-07,1073.95,228.75,732.8,308.05,1161.95,4165.3,2079.85,1363.05,772.2,324.7
2018-09-10,1088.7,226.55,730.85,310.1,1146.65,4154.85,2080.75,1349.65,766.25,325.0
2018-09-11,1085.1,225.0,734.3,306.8,1161.3,4192.55,2046.25,1311.9,747.2,323.95
2018-09-12,1086.8,229.6,742.9,307.05,1146.25,4267.55,2043.95,1334.15,739.8,328.75
2018-09-14,1070.7,234.95,733.7,303.1,1144.35,4252.85,2065.4,1345.95,760.45,330.2
2018-09-17,1078.4,239.0,725.95,302.6,1152.3,4489.7,2074.15,1365.0,767.55,329.9
2018-09-18,1083.9,237.6,719.1,298.8,1147.45,4260.15,2070.75,1325.95,754.7,332.55
2018-09-19,1087.3,234.9,719.75,291.55,1120.35,4106.5,2077.9,1332.85,769.95,332.7
2018-09-21,1084.9,182.2,705.3,277.75,1086.2,4011.9,2103.15,1295.65,738.05,335.2
2018-09-24,1096.3,217.25,718.25,276.7,1072.9,4072.9,2198.45,1261.4,751.45,332.7
2018-09-25,1116.35,214.5,726.2,267.6,1086.85,4101.95,2183.2,1233.9,758.75,328.3
2018-09-26,1090.15,214.85,717.85,247.55,1073.6,3960.65,2142.15,1186.85,748.85,319.25
2018-09-27,1092.2,200.35,724.8,241.3,1052.35,3983.9,2188.85,1175.9,746.05,318.95
2018-09-28,1087.8,58.45,730.05,213.4,1033.25,3916.45,2183.7,1156.0,745.5,324.0
2018-10-01,1098.4,66.9,746.65,221.85,1071.8,4007.35,2255.55,1161.75,759.55,330.15
2018-10-03,1091.3,76.7,728.5,220.05,1073.35,4043.95,2162.85,1187.4,750.15,327.5
2018-10-04,1077.1,62.9,707.2,205.85,1063.35,3967.4,2064.8,1151.05,719.85,325.65
2018-10-05,1084.0,59.55,724.6,195.7,1040.65,4019.9,2102.65,1138.15,714.5,325.3
2018-10-08,1072.1,58.0,714.45,192.45,998.35,3897.45,2077.55,1006.95,694.9,317.5
2018-10-09,1068.4,58.6,717.75,199.6,1009.7,3955.35,2091.8,968.2,696.1,321.65
2018-10-10,1051.8,58.5,700.45,205.45,1005.05,3974.45,2043.6,1016.55,699.3,315.95
2018-10-11,1009.0,52.35,673.35,197.4,980.55,3896.6,1979.95,975.2,695.45,313.05
