,Expiry_strike,Spot,CE_intr_V,call_premium,CallPayoff,PE_intr_V,put_premium,put_Payoff,Payoff
89,9050,11967.65,0,84.0,84.0,2350,59.5,-2290.5,-2206.5
90,9100,11967.65,0,84.0,84.0,2300,59.5,-2240.5,-2156.5
91,9150,11967.65,0,84.0,84.0,2250,59.5,-2190.5,-2106.5
92,9200,11967.65,0,84.0,84.0,2200,59.5,-2140.5,-2056.5
93,9250,11967.65,0,84.0,84.0,2150,59.5,-2090.5,-2006.5
94,9300,11967.65,0,84.0,84.0,2100,59.5,-2040.5,-1956.5
95,9350,11967.65,0,84.0,84.0,2050,59.5,-1990.5,-1906.5
96,9400,11967.65,0,84.0,84.0,2000,59.5,-1940.5,-1856.5
97,9450,11967.65,0,84.0,84.0,1950,59.5,-1890.5,-1806.5
98,9500,11967.65,0,84.0,84.0,1900,59.5,-1840.5,-1756.5
99,9550,11967.65,0,84.0,84.0,1850,59.5,-1790.5,-1706.5
100,9600,11967.65,0,84.0,84.0,1800,59.5,-1740.5,-1656.5
101,9650,11967.65,0,84.0,84.0,1750,59.5,-1690.5,-1606.5
102,9700,11967.65,0,84.0,84.0,1700,59.5,-1640.5,-1556.5
103,9750,11967.65,0,84.0,84.0,1650,59.5,-1590.5,-1506.5
104,9800,11967.65,0,84.0,84.0,1600,59.5,-1540.5,-1456.5
105,9850,11967.65,0,84.0,84.0,1550,59.5,-1490.5,-1406.5
106,9900,11967.65,0,84.0,84.0,1500,59.5,-1440.5,-1356.5
107,9950,11967.65,0,84.0,84.0,1450,59.5,-1390.5,-1306.5
108,10000,11967.65,0,84.0,84.0,1400,59.5,-1340.5,-1256.5
109,10050,11967.65,0,84.0,84.0,1350,59.5,-1290.5,-1206.5
110,10100,11967.65,0,84.0,84.0,1300,59.5,-1240.5,-1156.5
111,10150,11967.65,0,84.0,84.0,1250,59.5,-1190.5,-1106.5
112,10200,11967.65,0,84.0,84.0,1200,59.5,-1140.5,-1056.5
113,10250,11967.65,0,84.0,84.0,1150,59.5,-1090.5,-1006.5
114,10300,11967.65,0,84.0,84.0,1100,59.5,-1040.5,-956.5
115,10350,11967.65,0,84.0,84.0,1050,59.5,-990.5,-906.5
116,10400,11967.65,0,84.0,84.0,1000,59.5,-940.5,-856.5
117,10450,11967.65,0,84.0,84.0,950,59.5,-890.5,-806.5
118,10500,11967.65,0,84.0,84.0,900,59.5,-840.5,-756.5
119,10550,11967.65,0,84.0,84.0,850,59.5,-790.5,-706.5
120,10600,11967.65,0,84.0,84.0,800,59.5,-740.5,-656.5
121,10650,11967.65,0,84.0,84.0,750,59.5,-690.5,-606.5
122,10700,11967.65,0,84.0,84.0,700,59.5,-640.5,-556.5
123,10750,11967.65,0,84.0,84.0,650,59.5,-590.5,-506.5
124,10800,11967.65,0,84.0,84.0,600,59.5,-540.5,-456.5
125,10850,11967.65,0,84.0,84.0,550,59.5,-490.5,-406.5
126,10900,11967.65,0,84.0,84.0,500,59.5,-440.5,-356.5
127,10950,11967.65,0,84.0,84.0,450,59.5,-390.5,-306.5
128,11000,11967.65,0,84.0,84.0,400,59.5,-340.5,-256.5
129,11050,11967.65,0,84.0,84.0,350,59.5,-290.5,-206.5
130,11100,11967.65,0,84.0,84.0,300,59.5,-240.5,-156.5
131,11150,11967.65,0,84.0,84.0,250,59.5,-190.5,-106.5
132,11200,11967.65,0,84.0,84.0,200,59.5,-140.5,-56.5
133,11250,11967.65,0,84.0,84.0,150,59.5,-90.5,-6.5
134,11300,11967.65,0,84.0,84.0,100,59.5,-40.5,43.5
135,11350,11967.65,0,84.0,84.0,50,59.5,9.5,93.5
136,11400,11967.65,0,84.0,84.0,0,59.5,59.5,143.5
137,11450,11967.65,0,84.0,84.0,0,59.5,59.5,143.5
138,11500,11967.65,0,84.0,84.0,0,59.5,59.5,143.5
139,11550,11967.65,0,84.0,84.0,0,59.5,59.5,143.5
140,11600,11967.65,0,84.0,84.0,0,59.5,59.5,143.5
141,11650,11967.65,0,84.0,84.0,0,59.5,59.5,143.5
142,11700,11967.65,0,84.0,84.0,0,59.5,59.5,143.5
143,11750,11967.65,0,84.0,84.0,0,59.5,59.5,143.5
144,11800,11967.65,0,84.0,84.0,0,59.5,59.5,143.5
145,11850,11967.65,0,84.0,84.0,0,59.5,59.5,143.5
146,11900,11967.65,0,84.0,84.0,0,59.5,59.5,143.5
147,11950,11967.65,0,84.0,84.0,0,59.5,59.5,143.5
148,12000,11967.65,0,84.0,84.0,0,59.5,59.5,143.5
149,12050,11967.65,0,84.0,84.0,0,59.5,59.5,143.5
150,12100,11967.65,0,84.0,84.0,0,59.5,59.5,143.5
151,12150,11967.65,0,84.0,84.0,0,59.5,59.5,143.5
152,12200,11967.65,0,84.0,84.0,0,59.5,59.5,143.5
153,12250,11967.65,50,84.0,34.0,0,59.5,59.5,93.5
154,12300,11967.65,100,84.0,-16.0,0,59.5,59.5,43.5
155,12350,11967.65,150,84.0,-66.0,0,59.5,59.5,-6.5
156,12400,11967.65,200,84.0,-116.0,0,59.5,59.5,-56.5
157,12450,11967.65,250,84.0,-166.0,0,59.5,59.5,-106.5
158,12500,11967.65,300,84.0,-216.0,0,59.5,59.5,-156.5
159,12550,11967.65,350,84.0,-266.0,0,59.5,59.5,-206.5
160,12600,11967.65,400,84.0,-316.0,0,59.5,59.5,-256.5
161,12650,11967.65,450,84.0,-366.0,0,59.5,59.5,-306.5
162,12700,11967.65,500,84.0,-416.0,0,59.5,59.5,-356.5
163,12750,11967.65,550,84.0,-466.0,0,59.5,59.5,-406.5
164,12800,11967.65,600,84.0,-516.0,0,59.5,59.5,-456.5
165,12850,11967.65,650,84.0,-566.0,0,59.5,59.5,-506.5
166,12900,11967.65,700,84.0,-616.0,0,59.5,59.5,-556.5
167,12950,11967.65,750,84.0,-666.0,0,59.5,59.5,-606.5
168,13000,11967.65,800,84.0,-716.0,0,59.5,59.5,-656.5
169,13050,11967.65,850,84.0,-766.0,0,59.5,59.5,-706.5
170,13100,11967.65,900,84.0,-816.0,0,59.5,59.5,-756.5
171,13150,11967.65,950,84.0,-866.0,0,59.5,59.5,-806.5
172,13200,11967.65,1000,84.0,-916.0,0,59.5,59.5,-856.5
173,13250,11967.65,1050,84.0,-966.0,0,59.5,59.5,-906.5
174,13300,11967.65,1100,84.0,-1016.0,0,59.5,59.5,-956.5
175,13350,11967.65,1150,84.0,-1066.0,0,59.5,59.5,-1006.5
176,13400,11967.65,1200,84.0,-1116.0,0,59.5,59.5,-1056.5
177,13450,11967.65,1250,84.0,-1166.0,0,59.5,59.5,-1106.5
178,13500,11967.65,1300,84.0,-1216.0,0,59.5,59.5,-1156.5
179,13550,11967.65,1350,84.0,-1266.0,0,59.5,59.5,-1206.5
180,13600,11967.65,1400,84.0,-1316.0,0,59.5,59.5,-1256.5
181,13650,11967.65,1450,84.0,-1366.0,0,59.5,59.5,-1306.5
182,13700,11967.65,1500,84.0,-1416.0,0,59.5,59.5,-1356.5
183,13750,11967.65,1550,84.0,-1466.0,0,59.5,59.5,-1406.5
184,13800,11967.65,1600,84.0,-1516.0,0,59.5,59.5,-1456.5
185,13850,11967.65,1650,84.0,-1566.0,0,59.5,59.5,-1506.5
186,13900,11967.65,1700,84.0,-1616.0,0,59.5,59.5,-1556.5
187,13950,11967.65,1750,84.0,-1666.0,0,59.5,59.5,-1606.5
188,14000,11967.65,1800,84.0,-1716.0,0,59.5,59.5,-1656.5
189,14050,11967.65,1850,84.0,-1766.0,0,59.5,59.5,-1706.5
