,YStock,XStock,PValue,Beta,STD_ERR_Ratio,Alpha,Close_STD_Error
44,EICHERMOT,BAJAJ-AUTO,0.00,-1.95,1.21,34310.00,-3.12
45,BAJAJ-AUTO,EXIDEIND,0.00,-4.32,0.74,3971.47,-0.25
46,HEROMOTOCO,BAJAJ-AUTO,0.00,0.52,1.21,2006.86,-2.16
47,MRF,BAJAJ-AUTO,0.00,-7.43,1.21,95168.86,-3.32
48,BAJAJ-AUTO,M&M,0.00,-1.16,0.77,3884.92,-0.53
49,MARUTI,BAJAJ-AUTO,0.00,0.53,1.21,7425.94,-3.93
50,BAJAJ-AUTO,MOTHERSUMI,0.00,3.69,0.84,1715.09,0.77
51,BAJAJ-AUTO,TVSMOTOR,0.00,2.30,0.79,1493.58,-0.47
52,BAJAJ-AUTO,TATAMTRDVR,0.00,3.96,0.43,2188.45,0.98
53,BAJAJ-AUTO,TATAMOTORS,0.00,2.42,0.45,2134.35,0.83
54,BOSCHLTD,BHARATFORG,0.00,5.40,0.95,15238.60,1.25
55,EICHERMOT,BHARATFORG,0.00,5.18,0.95,25085.82,-2.61
56,BHARATFORG,EXIDEIND,0.00,-1.51,0.74,1060.59,-1.21
57,HEROMOTOCO,BHARATFORG,0.00,2.04,0.95,2104.23,-1.73
58,MRF,BHARATFORG,0.15,-6.69,0.95,78224.33,-2.96
59,BHARATFORG,M&M,0.00,-0.51,0.77,1116.41,-1.71
60,MARUTI,BHARATFORG,0.63,-0.24,0.95,9139.47,-4.01
61,BHARATFORG,MOTHERSUMI,0.00,1.39,0.84,240.56,0.31
62,BHARATFORG,TVSMOTOR,0.00,0.73,0.79,240.47,-1.64
63,BHARATFORG,TATAMTRDVR,0.00,1.29,0.43,455.34,0.11
64,BHARATFORG,TATAMOTORS,0.00,0.82,0.45,425.78,0.03
65,EICHERMOT,BOSCHLTD,0.98,-0.00,1.40,28695.78,-2.84
66,BOSCHLTD,EXIDEIND,0.30,3.13,0.74,18173.39,0.75
67,BOSCHLTD,HEROMOTOCO,0.01,-1.08,1.38,22738.75,0.36
68,MRF,BOSCHLTD,0.00,-0.82,1.40,89224.90,-2.68
69,BOSCHLTD,M&M,0.61,0.48,0.77,18543.98,0.79
70,MARUTI,BOSCHLTD,0.88,-0.00,1.40,9047.44,-3.95
71,BOSCHLTD,MOTHERSUMI,0.00,11.01,0.84,15413.90,1.54
72,BOSCHLTD,TVSMOTOR,0.00,5.20,0.79,15766.82,0.97
73,BOSCHLTD,TATAMTRDVR,0.20,3.07,0.43,18399.86,0.99
74,BOSCHLTD,TATAMOTORS,0.01,3.64,0.45,17797.36,1.15
75,EICHERMOT,EXIDEIND,0.05,7.68,0.74,26738.95,-2.98
76,EICHERMOT,HEROMOTOCO,0.00,3.21,1.38,17369.47,-2.05
77,MRF,EICHERMOT,0.00,1.42,1.63,32861.52,-1.46
78,EICHERMOT,M&M,0.07,2.17,0.77,26800.86,-2.91
79,MARUTI,EICHERMOT,0.34,-0.02,1.63,9539.57,-4.17
80,EICHERMOT,MOTHERSUMI,0.00,10.22,0.84,25359.59,-2.42
81,EICHERMOT,TVSMOTOR,0.68,0.71,0.79,28208.76,-2.82
82,EICHERMOT,TATAMTRDVR,0.16,4.35,0.43,27862.09,-2.65
83,EICHERMOT,TATAMOTORS,0.61,0.97,0.45,28336.43,-2.77
84,HEROMOTOCO,EXIDEIND,0.00,-4.38,0.74,4594.81,-2.19
85,MRF,EXIDEIND,0.00,50.30,0.74,61158.10,-3.32
86,M&M,EXIDEIND,0.00,3.08,0.74,84.57,-1.01
87,MARUTI,EXIDEIND,0.33,1.04,0.74,8717.74,-4.02
88,MOTHERSUMI,EXIDEIND,0.00,-0.60,0.74,469.07,-2.06
89,TVSMOTOR,EXIDEIND,0.00,-1.73,0.74,1041.28,0.17
90,EXIDEIND,TATAMTRDVR,0.00,-0.64,0.43,363.15,-1.37
91,EXIDEIND,TATAMOTORS,0.00,-0.40,0.45,373.10,-1.22
92,MRF,HEROMOTOCO,0.00,3.93,1.38,59851.78,-2.36
93,HEROMOTOCO,M&M,0.00,-1.28,0.77,4596.82,-2.41
94,MARUTI,HEROMOTOCO,0.03,0.31,1.38,7875.15,-3.64
95,HEROMOTOCO,MOTHERSUMI,0.00,4.17,0.84,2169.34,-1.10
96,HEROMOTOCO,TVSMOTOR,0.00,2.12,0.79,2209.76,-2.51
97,HEROMOTOCO,TATAMTRDVR,0.00,4.53,0.43,2696.53,-1.17
98,HEROMOTOCO,TATAMOTORS,0.00,2.50,0.45,2717.24,-1.40
99,MRF,M&M,0.00,13.65,0.77,62062.80,-3.09
100,MARUTI,MRF,0.00,0.04,1.64,5863.46,-3.10
101,MRF,MOTHERSUMI,0.86,1.50,0.84,73150.30,-2.77
102,MRF,TVSMOTOR,0.00,-17.42,0.79,84299.29,-3.07
103,MRF,TATAMTRDVR,0.01,-20.07,0.43,77230.43,-3.21
104,MRF,TATAMOTORS,0.00,-15.82,0.45,78640.19,-3.33
105,MARUTI,M&M,0.78,0.09,0.77,8898.60,-3.97
106,MOTHERSUMI,M&M,0.00,-0.21,0.77,496.10,-2.38
107,TVSMOTOR,M&M,0.00,-0.55,0.77,1074.49,-0.25
108,M&M,TATAMTRDVR,0.00,-2.11,0.43,1226.75,-2.07
109,M&M,TATAMOTORS,0.00,-1.32,0.45,1266.33,-2.07
110,MARUTI,MOTHERSUMI,0.00,4.78,0.84,7438.90,-3.40
111,MARUTI,TVSMOTOR,0.11,0.75,0.79,8518.36,-3.93
112,MARUTI,TATAMTRDVR,0.01,2.22,0.43,8577.40,-3.66
113,MARUTI,TATAMOTORS,0.01,1.34,0.45,8549.27,-3.69
114,MOTHERSUMI,TVSMOTOR,0.00,0.39,0.79,80.50,-2.92
115,MOTHERSUMI,TATAMTRDVR,0.00,0.78,0.43,181.94,-0.99
116,MOTHERSUMI,TATAMOTORS,0.00,0.48,0.45,170.73,-1.29
117,TVSMOTOR,TATAMTRDVR,0.00,1.64,0.43,318.67,2.92
118,TVSMOTOR,TATAMOTORS,0.00,1.01,0.45,292.60,2.93
119,TATAMOTORS,TATAMTRDVR,0.00,1.63,0.43,23.62,0.90
